region,country,name,2004,2010,2019,2023,diff_2004_2023,diff_2010_2023
CEE,Czechia,% of World,238.73922755246346,230.2705467656552,236.8881748474258,225.75057032881236,-12.988657223651103,-4.519976436842853
CEE,Czechia,rel_val,124.21856552685583,136.9510780303532,170.9448341205254,172.73350172419134,48.514936197335516,35.782423693838155
CEE,Estonia,value,22.471822,26.664799,40.702008,40.88093,18.409108,14.216131
CEE,Estonia,% of DE,43.739319454631456,48.020449427971556,62.47143530941558,63.823377006337374,20.084057551705918,15.802927578365818
CEE,Estonia,% of G7,43.098115294868755,50.13079715638727,66.7639524064441,65.18595651429725,22.08784121942849,15.055159357909979
CEE,Estonia,% of EU8,43.06617869793013,48.28295369406645,65.61602853093572,66.14669906065063,23.080520362720506,17.863745366584183
CEE,Estonia,% of S_EUR4,49.10069291277413,59.806349276609566,87.15761324433596,85.61415484873454,36.513461935960414,25.807805572124977
CEE,Estonia,% of LAT_AM,142.0173233682357,143.93787897162343,208.21092527173948,201.71257228423147,59.69524891599576,57.774693312608036
CEE,Estonia,% of World,162.57111819314866,168.76371749557185,212.31030201867407,201.11333969489024,38.54222150174158,32.34962219931839
CEE,Estonia,rel_val,142.38145772218655,168.94815878699566,257.88791096957334,259.02156071006027,116.64010298787372,90.07340192306461
CEE,Hungary,value,26.44314,27.57894,36.892285,37.236074,10.792934000000002,9.657134000000003
CEE,Hungary,% of DE,51.46912198946499,49.666719540884664,56.62408586313538,58.13302165919114,6.663899669726149,8.466302118306473
CEE,Hungary,% of G7,50.7146014452391,51.84941566325608,60.51482177255166,59.37411650192778,8.659515056688683,7.5247008386716985
CEE,Hungary,% of EU8,50.677020874158934,49.938223158983384,59.47434399628175,60.24920130432741,9.572180430168473,10.310978145344023
CEE,Hungary,% of S_EUR4,57.77798065459463,61.85667172359554,78.99962841464276,77.98098050594588,20.20299985135125,16.12430878235034
CEE,Hungary,% of LAT_AM,167.1152416680556,148.87245645038107,188.7223056719638,183.72831215693947,16.613070488883864,34.8558557065584
CEE,Hungary,% of World,191.30139239879955,174.5493914650295,192.4379792394763,183.18250585948192,-8.118886539317629,8.633114394452434
CEE,Hungary,rel_val,123.3743141851203,128.67355421680563,172.12631936286695,173.73031692516054,50.35600274004024,45.05676270835491
CEE,Latvia,value,19.15491,23.744521,34.655508000000005,37.997824,18.842914,14.253303000000002
CEE,Latvia,% of DE,37.283257566507714,42.76134126763561,53.1909709746245,59.322267046577814,22.0390094800701,16.560925778942206
CEE,Latvia,% of G7,36.73669716869573,44.64056773225922,56.84581180204041,60.58875135428475,23.852054185589026,15.948183622025532
CEE,Latvia,% of EU8,36.70947451447278,42.99509656648034,55.86841813018343,61.481738039901934,24.772263525429153,18.486641473421592
CEE,Latvia,% of S_EUR4,41.853275345533895,53.256471812586724,74.20988573954364,79.57626178883312,37.72298644329923,26.319789976246398
CEE,Latvia,% of LAT_AM,121.05511727351043,128.1740766145348,177.28008373547982,187.48689964351362,66.43178237000319,59.31282302897881
CEE,Latvia,% of World,138.5751069757105,150.28103658728776,180.7704762401544,186.92992761609517,48.35482064038467,36.64889102880741
CEE,Latvia,rel_val,96.814952524312,120.01229310539853,175.15986040790145,192.052978927448,95.238026403136,72.04068582204948
CEE,Lithuania,value,22.641854,28.585932,43.775766000000004,41.916464999999995,19.274610999999997,13.330532999999996
CEE,Lithuania,% of DE,44.070270988757606,51.48020436821721,67.1891896289027,65.44005599843118,21.36978500967357,13.959851630213969
CEE,Lithuania,% of G7,43.42421518742829,53.74259744535408,71.80587153782767,66.83715034670352,23.412935159275236,13.094552901349445
CEE,Lithuania,% of EU8,43.39203694370861,51.761621419225115,70.57125807698642,67.82222899628984,24.430192052581226,16.060607577064722
CEE,Lithuania,% of S_EUR4,49.472211030768506,64.11524923137092,93.73963275970443,87.78280546018794,38.31059442941944,23.66755622881702
CEE,Lithuania,% of LAT_AM,143.09189086556404,154.30824813294328,223.93471946983928,206.82205556996763,63.73016470440359,52.513807437024354
CEE,Lithuania,% of World,163.80120502672258,180.92272709033463,228.34367534296598,206.2076441106887,42.40643908396612,25.284917020354072
CEE,Lithuania,rel_val,119.2832443734423,150.59821127715975,230.62225352272952,220.82696663735405,101.54372226391175,70.2287553601943
CEE,Poland,value,20.430883,26.546568,36.80034,42.217637,21.786754000000002,15.671069000000003
CEE,Poland,% of DE,39.76682078903968,47.80752804962857,56.48296417401565,65.9102462338234,26.143425444783723,18.102718184194828
CEE,Poland,% of G7,39.183852164278186,49.90851855310221,60.36400337548361,67.3173787782809,28.13352661400271,17.408860225178685
CEE,Poland,% of EU8,39.15481611746937,48.068868378883565,59.32611873566863,68.30953526964258,29.154719152173207,20.240666890759016
CEE,Poland,% of S_EUR4,44.64126282772342,59.54116953603388,78.80274115665414,88.41352952258339,43.772266694859965,28.87235998654951
CEE,Poland,% of LAT_AM,129.11900591369894,143.299662296197,188.25196146869717,208.3080828893067,79.18907697560775,65.00842059310969
CEE,Poland,% of World,147.8060610743264,168.01542372132593,191.95837462834487,207.68925685146027,59.883195777133864,39.67383313013434
CEE,Poland,rel_val,160.15196926281152,208.09111100920776,288.4675576939583,330.93223152286345,170.78026226005193,122.84112051365568
CEE,Romania,value,18.901797,24.807598000000002,36.327773,39.374254,20.472457000000002,14.566655999999998
CEE,Romania,% of DE,36.79059656353608,44.67582917795286,55.75764519786429,61.47115188879723,24.680555325261153,16.795322710844367
CEE,Romania,% of G7,36.25125841537034,46.63919136518519,59.58884651597792,62.78351321818986,26.532254802819523,16.14432185300467
CEE,Romania,% of EU8,36.22439548132766,44.92005004406805,58.564289742986546,63.70884737885414,27.484451897526476,18.78879733478609
CEE,Romania,% of S_EUR4,41.30022612303512,55.640842096792895,77.79080553377196,82.45882564338447,41.158599520349355,26.817983546591577
CEE,Romania,% of LAT_AM,119.455494832139,133.91261784874837,185.83454726341057,194.2784094225031,74.8229145903641,60.365791573754734
CEE,Romania,% of World,136.7439753727981,157.0093388146565,189.49336497835273,193.70126168692568,56.95728631412757,36.691922872269174
CEE,Romania,rel_val,115.1271177949686,151.09818696900766,221.26530093407945,239.82081589105067,124.69369809608207,88.72262892204301
CEE,Slovakia,value,23.479303,31.002191,36.805133000000005,36.792989999999996,13.313686999999994,5.790798999999996
CEE,Slovakia,% of DE,45.70028787559311,55.83162824785647,56.490320705158744,57.44127816956221,11.740990293969098,1.6096499217057385
CEE,Slovakia,% of G7,45.03033655825316,58.28525271930889,60.3718653862199,58.667604826283885,13.637268268030724,0.38235210697499156
CEE,Slovakia,% of EU8,44.99696814529978,56.136832400934416,59.33384556882019,59.53227671365422,14.535308568354438,3.3954443127198033
CEE,Slovakia,% of S_EUR4,51.30202822045209,69.53466490732451,78.8130046905879,77.05305978136852,25.75103156091643,7.518394874044006
CEE,Slovakia,% of LAT_AM,148.3843974294468,167.35133146937105,188.27648003703976,181.54206998050205,33.15767255105524,14.190738511131002
CEE,Slovakia,% of World,169.8596821880197,196.21543007572495,191.9833759323979,181.00275840742125,11.143076219401564,-15.212671668303699
CEE,Slovakia,rel_val,120.2911038911536,158.8329848818079,188.56309650379004,188.5008844835034,68.2097805923498,29.667899601695495
CEE,Slovenia,value,35.3639,38.39486,45.191695,46.36081,10.99691,7.965949999999999
CEE,Slovenia,% of DE,68.8325547995904,69.14503397996917,69.36242680497088,72.37857492354445,3.546020123954051,3.233540943575278
