DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Bosnia and Herzegovina,2024,10700,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,1995,12100,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,1996,12600,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,1997,12800,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,1998,13100,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,1999,13500,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2000,14800,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2001,15200,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2002,15700,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2003,16100,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2004,16400,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2005,17100,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2006,17600,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2007,18000,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2008,18700,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2009,18700,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2010,19700,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2011,20100,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2012,20600,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2013,21100,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Actual individual consumption,Belgium,2014,21600,,
