STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ppp,Purchasing power parities indicator,ppp_cat18,Analytical categories for purchasing power parities (PPPs) calculation (based on COICOP18),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2018,,244554,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2019,,251601,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2020,,240122,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2021,,259664,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2022,,289076,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2023,,310425,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2024,,326214,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2005,,9353,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2006,,10177,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2008,,12539,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2009,,12160,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2010,,12356,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2011,,12689,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2012,,12929,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2013,,13011,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2014,,13196,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2015,,13352,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2016,,13574,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2017,,13892,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,BA,Bosnia and Herzegovina,2018,,14455,,,,,
