age,sex,indic_il,unit,country,year,value,Code,pop,% of DE,% of AT,% of W_EUR3,% of S_EUR4,region
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2012,7.891,EST,1322570,41.081840899625156,38.30210659159305,43.88233827621583,55.83656061787289,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2013,8.607,EST,1317872,44.18831502207619,41.17393800229621,47.38568746746516,61.70326321244859,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2014,9.241,EST,1314402,48.09013322231474,42.659957529314006,51.10647532645791,66.49275745449098,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2015,10.432,EST,1314538,51.225141173582124,47.459169282562215,55.594406677449136,74.03356926453625,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2016,11.867,EST,1315802,56.103441754916794,51.43686879632439,60.672078479575916,79.79776414131082,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2017,12.414,EST,1317381,58.196990295813606,53.13984846539103,63.22252432121939,82.36205744492666,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2018,13.378,EST,1321918,60.86442220200182,57.65385278400276,67.18439831033385,87.07268394118321,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2019,14.24,EST,1326772,62.75062794694399,60.11736395491198,69.84023874580551,90.67983847611464,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2020,14.331,EST,1329618,59.14812827603285,61.41681666238107,68.57826832718341,87.99360677758271,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2021,14.81,EST,1331699,63.4641755227974,60.57259713701431,71.90843964537873,92.99950914639027,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2022,17.064,EST,1350038,73.78388896095473,67.93264063059836,81.25776132227777,101.00344841853772,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2023,15.492,EST,1367143,64.31952171385868,53.99790867898222,69.95472955711766,84.81392551035856,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2024,16.482,EST,1371986,65.42553191489361,55.38678674642113,70.66016913051999,84.09163350188035,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2005,5.561,HUN,10065654,35.531275956807875,32.34267767825986,37.78389559448942,45.72073839368936,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2006,6.077,HUN,10049900,40.06725126920288,34.885189437428245,41.21635837495504,48.16815744693266,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2007,6.49,HUN,10034027,37.46031746031746,36.44020213363279,40.995130885829376,49.49395026930023,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2008,6.597,HUN,10016610,36.63575276281446,34.845763786182125,38.7032625929964,45.73326528380649,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2009,6.836,HUN,10001329,38.0750807619472,35.10682004930156,40.00265537616935,46.671686317215276,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2010,6.708,HUN,9979076,38.17219598247311,34.3717974994876,39.582788028136456,46.440388882178425,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2011,7.135,HUN,9946626,38.78771405273172,34.932680538555694,40.65330826671183,49.470399696492606,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2012,7.604,HUN,9916568,39.58767180341524,36.90903795747985,42.28631355371248,53.80575426920612,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2013,7.277,HUN,9889294,37.36009857274874,34.8115193264447,40.063395805825955,52.16854262774351,CEE
