"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bahrain","BHR","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52218.4466791717","50619.6173836348","43630.5847636164","45674.562156671","44922.3516329037","48767.6937565373","51296.5883607537","54395.9873083259","57984.3463893623","47376.969868034","51735.6085960582","56204.3691807026","60372.1642469759","63405.1242881023","60273.7593970589","53599.80995692","52665.5233403909","53799.3127886153","55329.5446368252","56719.0943213493","50453.6636111207","51553.0939020486","60432.2115752265","62996.98360464","63324.0596472524","",
"Bahamas, The","BHS","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29728.6680176134","27595.3395297804","27022.5704343452","26162.9197458984","26500.3251935324","30804.1037667707","33318.3820744661","32577.8975371165","33908.164731532","37950.1620972024","38769.2629851632","37749.1222852644","40509.8523693166","39073.7820876835","38386.4193433051","39186.693475503","38263.4533547402","38840.3260159033","37288.2906501646","34063.981524705","33569.5456393987","32296.5231572796","30200.1224162896","29658.0978718806","30800.8390264874","32389.0934519598","32120.6181590656","32879.8358562569","32248.5541993955","32712.7862808783","26050.1575365351","29228.2090201962","31439.7845957083","33623.1674052542","34709.9619419169","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7845.23336954131","7963.73167674313","8355.62119910084","8608.45428900004","9158.86801463336","9613.25182385693","10214.0605027186","11077.3378410212","12019.6839396006","12078.3830149052","12056.0352945827","12054.2599977654","12287.9152128665","12851.3273536355","13100.3482516099","13939.2763998003","14658.2629200817","15086.1635557034","15894.6877330252","16636.84005649","16364.3395595977","18053.5597882444","18168.138377922","19081.5922774401","20039.2517198981","",
"Belarus","BLR","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12801.5891882185","12578.978393135","10541.4350347252","8826.05046306236","7367.46543793987","6753.79054407498","7014.6926453949","7137.80155566065","8481.30211227332","8639.32540866941","8963.80325555722","9176.54262167092","9697.07261041854","10727.1459874062","12087.3856027014","14702.3732674672","16695.4399491325","17992.6515264659","21232.5910553156","20490.9752452534","22221.7325791984","24686.0929075653","26046.7042355954","26163.3365802091","26891.9711131499","23523.5456375217","22024.9997106471","23360.6236927383","25078.4563967473","25848.9581020891","25825.6353398117","26597.539831446","26562.711651084","26814.2179317918","28145.0563413227","",
"Belize","BLZ","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9477.41654110963","10136.6239915716","10575.9293984735","10853.3834590189","10522.3620733231","10342.8942534672","10240.5062397789","10138.3395493904","10207.6659620848","10636.3974009254","11317.4753534283","11231.1688455553","11595.0669927616","11651.3637688866","11336.3304933296","11110.4232613568","10693.1840768778","11818.0135615387","10978.911296895","9836.38727986897","10178.5951993136","10695.8671757291","10628.1085009371","11024.3238986451","11362.0412390084","11833.9094556547","11877.7998793786","11740.8766915662","11015.3847118449","11208.1023447062","9545.96138693217","11340.3690299201","11979.4614943052","11807.9808303834","12098.0517417064","",
"Bermuda","BMU","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99483.9124835153","99002.0641132088","96969.0569162976","103320.161872476","99956.4371883952","100384.666234771","90869.4529883449","96262.1573483182","102468.876115896","106076.127144488","113651.868599865","",
"Bolivia","BOL","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5915.08519296015","5937.38322692878","5888.05349887564","5927.49668619844","6165.50824117758","6385.91255536469","6606.69768233301","6812.20093784331","7011.72909288271","6892.19438288814","6910.04506695774","6974.87518318806","7088.82462303558","7282.22756503555","7651.97458608277","7898.03240033257","8529.4561166686","8638.37530800101","9177.49854390623","8879.04518740498","9452.23710725433","9994.02130772848","10330.9746640941","10663.3615716829","10699.939412583","10428.2610605232","10760.8135450627","11308.9307515324","11607.0162696178","11645.8520337503","10045.5506327019","10961.6527735419","11166.3318158498","11065.989401344","10954.7222813594","",
"Brazil","BRA","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12257.8609184365","12209.9451915538","11995.070800512","12297.955775014","12621.1761427476","13249.8883233201","13370.8345477785","13568.4274564742","13339.4784454055","12912.7096995885","13243.7721186716","13146.2902614476","13559.3648799207","13622.8456417431","14366.497597497","14609.2736307069","15117.754746928","15888.7665017192","16494.2164644508","16377.6687599461","17528.9045732152","18319.8573861666","18433.2615047394","18976.7931059346","18737.6664457601","17748.6628637705","17033.4366535818","17253.4311140921","17286.3588637323","17307.1283632235","16808.3143664683","17511.7648104943","17886.5309370324","18463.9873403759","18865.2182232375","",
"Barbados","BRB","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17397.3127150139","","","","",
"Brunei Darussalam","BRN","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88223.1488382603","87306.5135968666","72155.3715105354","67910.7236903898","62975.1430128378","55740.9154636608","60450.0043035816","63456.2546800631","55571.4813436248","56549.7261065736","62929.1139167708","62586.2927886599","60572.9471904465","65552.1471582287","71851.9039693043","81965.3351813174","89844.6001179797","88185.493791409","106355.109614981","84656.8894662107","88696.6562654609","106493.054725532","107449.918932385","102459.920734166","97870.589712345","81577.597622884","75059.0465472867","78865.7746766502","76807.5932080583","76665.6800632501","69689.9855299579","78749.7516450353","89081.6599337609","79542.6737853979","80624.5296889295","",
