country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,period_lab_T_F,period_lab,x_start,x_end,type_scale,sel_var
Poland,CEE,1995,2024,26.744301052361784,78.14875827943254,38364630,36554707,65.64933856858575,20.612179284110102,1,51.40445722707076,1.0722927619292195,45.03715928447565,1.1584453971078383,black,+51%,1.07,+51%,52.44652966589716,21 → 66,3.03 → 4.18,45,+45% (21 → 66),"CEE
+45% (21 → 66)",FALSE,,26.744301052361784,78.14875827943254,linear,% of W_EUR3
Latvia,CEE,1995,2024,13.482266939936775,48.71425197458599,2485908,1862441,65.64933856858575,20.612179284110102,1,35.23198503464921,1.2845963736606343,45.03715928447565,1.1584453971078383,black,+35%,1.28,+35%,31.098259457261385,21 → 66,3.03 → 4.18,45,+45% (21 → 66),"CEE
+45% (21 → 66)",FALSE,,13.482266939936775,48.71425197458599,linear,% of W_EUR3
Hungary,CEE,1995,2024,19.614687017195077,52.24826410316005,10322744,9562314,65.64933856858575,20.612179284110102,1,32.63357708596497,0.9797280441517887,45.03715928447565,1.1584453971078383,black,+33%,0.98,+33%,35.93147556017756,21 → 66,3.03 → 4.18,45,+45% (21 → 66),"CEE
+45% (21 → 66)",FALSE,,19.614687017195077,52.24826410316005,linear,% of W_EUR3
Slovenia,CEE,1995,2024,47.429161436925455,79.1228881722366,1988051,2126324,65.64933856858575,20.612179284110102,1,31.693726735311145,0.5117649306228249,45.03715928447565,1.1584453971078383,black,+32%,0.51,+32%,63.27602480458103,21 → 66,3.03 → 4.18,45,+45% (21 → 66),"CEE
+45% (21 → 66)",FALSE,,47.429161436925455,79.1228881722366,linear,% of W_EUR3
Czechia,CEE,1995,2024,21.464547992087752,48.430643756217385,10311979,10882164,65.64933856858575,20.612179284110102,1,26.966095764129633,0.8137301052852591,45.03715928447565,1.1584453971078383,black,+27%,0.81,+27%,34.94759587415257,21 → 66,3.03 → 4.18,45,+45% (21 → 66),"CEE
+45% (21 → 66)",FALSE,,21.464547992087752,48.430643756217385,linear,% of W_EUR3
Slovakia,CEE,1995,2024,25.28533695157191,50.38548310935205,5354244,5422069,65.64933856858575,20.612179284110102,1,25.10014615778014,0.6894784394551128,45.03715928447565,1.1584453971078383,black,+25%,0.69,+25%,37.83541003046198,21 → 66,3.03 → 4.18,45,+45% (21 → 66),"CEE
+45% (21 → 66)",FALSE,,25.28533695157191,50.38548310935205,linear,% of W_EUR3
Chile,Latin America,1995,2024,17.364698040261274,34.544273409708005,14527329,19764771,23.037002142751746,13.700567815235738,1,17.17957536944673,0.6878024915069033,9.336434327516008,0.5196644336872265,black,+17%,0.69,+17%,25.95448572498464,14 → 23,2.62 → 3.14,9,+9% (14 → 23),"Latin America
+9% (14 → 23)",FALSE,,17.364698040261274,34.544273409708005,linear,% of W_EUR3
Portugal,Southern Europe,1995,2024,48.672573016372986,62.61380253397228,10031702,10701636,76.81973631086923,67.4018095318805,1,13.941229517599297,0.251870052538913,9.417926778988729,0.13078972514165638,black,+14%,0.25,+14%,55.643187775172635,67 → 77,4.21 → 4.34,9,+9% (67 → 77),"Southern Europe
+9% (67 → 77)",FALSE,,48.672573016372986,62.61380253397228,linear,% of W_EUR3
Spain,Southern Europe,1995,2024,71.26695663967276,82.84383209397794,40052688,48807137,76.81973631086923,67.4018095318805,1,11.576875454305181,0.15052451567901437,9.417926778988729,0.13078972514165638,black,+12%,0.15,+12%,77.05539436682534,67 → 77,4.21 → 4.34,9,+9% (67 → 77),"Southern Europe
+9% (67 → 77)",FALSE,,71.26695663967276,82.84383209397794,linear,% of W_EUR3
Brazil,Latin America,1995,2024,10.816973536727122,21.210017160172324,161735036,211998573,23.037002142751746,13.700567815235738,1,10.393043623445202,0.6733570534437096,9.336434327516008,0.5196644336872265,black,+10%,0.67,+10%,16.013495348449723,14 → 23,2.62 → 3.14,9,+9% (14 → 23),"Latin America
+9% (14 → 23)",FALSE,,10.816973536727122,21.210017160172324,linear,% of W_EUR3
Mexico,Latin America,1995,2024,11.279837411487652,18.61799835645982,90862395,130861007,23.037002142751746,13.700567815235738,1,7.33816094497217,0.5011119343265246,9.336434327516008,0.5196644336872265,black,+7%,0.5,+7%,14.948917883973737,14 → 23,2.62 → 3.14,9,+9% (14 → 23),"Latin America
+9% (14 → 23)",FALSE,,11.279837411487652,18.61799835645982,linear,% of W_EUR3
Costa Rica,Latin America,1995,2024,35.32200739615494,42.56225638349858,3535133,5129910,23.037002142751746,13.700567815235738,1,7.240248987343641,0.1864616514911735,9.336434327516008,0.5196644336872265,black,+7%,0.19,+7%,38.942131889826754,14 → 23,2.62 → 3.14,9,+9% (14 → 23),"Latin America
+9% (14 → 23)",FALSE,,35.32200739615494,42.56225638349858,linear,% of W_EUR3
