pair_group,region,country,Code,shape_var,year_pair,year_start,year_end,value_start,pop_start,value_end,pop_end,fold_change
post_1990,Southern Europe,Turkey,TUR,Southern Europe,1989-2022,1989,2022,7992,54976671,27361.988,87058421,3.4236721721721723
post_1990,Southern Europe,Turkey,TUR,Southern Europe,1989-2008,1989,2008,7992,54976671,16182.732,71562297,2.0248663663663664
post_1990,Southern Europe,Turkey,TUR,Southern Europe,1992-2022,1992,2022,9150.435,57990062,27361.988,87058421,2.9902390432804564
post_1990,Southern Europe,Turkey,TUR,Southern Europe,2008-2022,2008,2022,16182.732,71562297,27361.988,87058421,1.6908138872966567
post_1990,Africa,Uganda,UGA,Africa,1989-2022,1989,2022,929,17010661,2122.0278,47312665,2.2842064585575885
post_1990,Africa,Uganda,UGA,Africa,1989-2008,1989,2008,929,17010661,1679.3995,30539504,1.8077497308934338
post_1990,Africa,Uganda,UGA,Africa,1992-2022,1992,2022,934.82623,18784994,2122.0278,47312665,2.269970323789481
post_1990,Africa,Uganda,UGA,Africa,2008-2022,2008,2022,1679.3995,30539504,2122.0278,47312665,1.263563434429985
post_1990,USSR/other E Eur,Ukraine,UKR,USSR/other E Eur,1989-2022,1989,2022,10082,51917779,7749.0996,41048717,0.7686073794881968
post_1990,USSR/other E Eur,Ukraine,UKR,USSR/other E Eur,1989-2008,1989,2008,10082,51917779,10824.076,46819115,1.0736040468161079
post_1990,USSR/other E Eur,Ukraine,UKR,USSR/other E Eur,1992-2022,1992,2022,8130.277,52323629,7749.0996,41048717,0.953116308337342
post_1990,USSR/other E Eur,Ukraine,UKR,USSR/other E Eur,2008-2022,2008,2022,10824.076,46819115,7749.0996,41048717,0.7159132659452871
post_1990,W Europe/offshoots,United Kingdom,GBR,W Europe/offshoots,1989-2022,1989,2022,26164,57182093,38406.53,68179267,1.4679150741476839
post_1990,W Europe/offshoots,United Kingdom,GBR,W Europe/offshoots,1989-2008,1989,2008,26164,57182093,36264.79,62027249,1.3860567955970036
post_1990,W Europe/offshoots,United Kingdom,GBR,W Europe/offshoots,1992-2022,1992,2022,25790.186,57719216,38406.53,68179267,1.4891916638367788
post_1990,W Europe/offshoots,United Kingdom,GBR,W Europe/offshoots,2008-2022,2008,2022,36264.79,62027249,38406.53,68179267,1.0590583869367505
post_1990,W Europe/offshoots,United States,USA,W Europe/offshoots,1989-2022,1989,2022,36756,250674998,58487.465,341533996,1.5912358526499073
post_1990,W Europe/offshoots,United States,USA,W Europe/offshoots,1989-2008,1989,2008,36756,250674998,50275.746,304970280,1.3678241919686582
post_1990,W Europe/offshoots,United States,USA,W Europe/offshoots,1992-2022,1992,2022,37240.3,259605966,58487.465,341533996,1.5705422620118525
post_1990,W Europe/offshoots,United States,USA,W Europe/offshoots,2008-2022,2008,2022,50275.746,304970280,58487.465,341533996,1.1633336082173698
post_1990,Latin America,Uruguay,URY,Latin America,1989-2022,1989,2022,10305,3086210,20181.94,3390863,1.9584609412906355
post_1990,Latin America,Uruguay,URY,Latin America,1989-2008,1989,2008,10305,3086210,14869.927,3302124,1.442981756428918
post_1990,Latin America,Uruguay,URY,Latin America,1992-2022,1992,2022,11349.542,3139656,20181.94,3390863,1.77821624872616
post_1990,Latin America,Uruguay,URY,Latin America,2008-2022,2008,2022,14869.927,3302124,20181.94,3390863,1.3572319487513287
post_1990,USSR/other E Eur,Uzbekistan,UZB,USSR/other E Eur,1989-2022,1989,2022,7093,19977152,12559.401,34938911,1.7706754546736219
post_1990,USSR/other E Eur,Uzbekistan,UZB,USSR/other E Eur,1989-2008,1989,2008,7093,19977152,6278.2734,27494727,0.8851365289722262
post_1990,USSR/other E Eur,Uzbekistan,UZB,USSR/other E Eur,1992-2022,1992,2022,5530.4785,21485048,12559.401,34938911,2.270942921123371
post_1990,USSR/other E Eur,Uzbekistan,UZB,USSR/other E Eur,2008-2022,2008,2022,6278.2734,27494727,12559.401,34938911,2.000454615436148
post_1990,Latin America,Venezuela,VEN,Latin America,1989-2022,1989,2022,12750,19348872,5267.1753,28212961,0.4131117882352941
post_1990,Latin America,Venezuela,VEN,Latin America,1989-2008,1989,2008,12750,19348872,18019.09,28053644,1.4132619607843138
post_1990,Latin America,Venezuela,VEN,Latin America,1992-2022,1992,2022,14901.616,20780903,5267.1753,28212961,0.35346336263127437
post_1990,Latin America,Venezuela,VEN,Latin America,2008-2022,2008,2022,18019.09,28053644,5267.1753,28212961,0.29231083811668623
post_1990,E Asia (soc.),Vietnam,VNM,E Asia (soc.),1989-2022,1989,2022,1588,64147307,8050.359,99680606,5.069495591939547
post_1990,E Asia (soc.),Vietnam,VNM,E Asia (soc.),1989-2008,1989,2008,1588,64147307,4200.2354,85175740,2.644984508816121
post_1990,E Asia (soc.),Vietnam,VNM,E Asia (soc.),1992-2022,1992,2022,1792.6708,68260287,8050.359,99680606,4.4907068269310795
post_1990,E Asia (soc.),Vietnam,VNM,E Asia (soc.),2008-2022,2008,2022,4200.2354,85175740,8050.359,99680606,1.916644719484056
post_1990,South Asia,Yemen,YEM,South Asia,1989-2022,1989,2022,3751,13364132,1959.3195,38222833,0.5223459077579312
post_1990,South Asia,Yemen,YEM,South Asia,1989-2008,1989,2008,3751,13364132,4549.009,25111897,1.2127456678219142
post_1990,South Asia,Yemen,YEM,South Asia,1992-2022,1992,2022,3759.7183,14989446,1959.3195,38222833,0.5211346552213766
post_1990,South Asia,Yemen,YEM,South Asia,2008-2022,2008,2022,4549.009,25111897,1959.3195,38222833,0.4307134806723838
post_1990,CEE,Yugoslavia,OWID_YGS,Yugoslavia,1989-2022,1989,2022,9887,22630000,19352.385,NA,1.957356629918074
post_1990,CEE,Yugoslavia,OWID_YGS,Yugoslavia,1989-2008,1989,2008,9887,22630000,13125.144,NA,1.3275153231516132
post_1990,CEE,Yugoslavia,OWID_YGS,Yugoslavia,1992-2022,1992,2022,6506.902,23090000,19352.385,NA,2.9741319294496824
post_1990,CEE,Yugoslavia,OWID_YGS,Yugoslavia,2008-2022,2008,2022,13125.144,NA,19352.385,NA,1.474451251734838
