DATAFLOW,LAST UPDATE,freq,sizeclas,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,European Union - 27 countries (2007-2013),2010,11.16,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,European Union - 27 countries (2007-2013),2014,12.16,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,European Union - 27 countries (2007-2013),2018,12.68,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,European Union - 27 countries (from 2020),2006,9.92,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,European Union - 27 countries (from 2020),2010,10.99,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,European Union - 27 countries (from 2020),2014,11.83,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,European Union - 27 countries (from 2020),2018,12.39,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,European Union - 27 countries (from 2020),2022,14.21,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,European Union - 28 countries (2013-2020),2010,11.15,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,European Union - 28 countries (2013-2020),2014,12.19,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,Finland,2006,12.53,,
ESTAT:EARN_SES_PUB2S$DEFAULTVIEW(1.0),13/12/24 11:00:00,Annual,10 employees or more,Females,Euro,Finland,2010,14.61,,
