megye,telepules,part,part_full,osszes_vp,osszes_szavazo,ervenyes,ervenytelen,reszvetel_pct,szavazat,szavazat_pct
BARANYA,Babarcszőlős,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,85,56,56,0,65.8824,10,17.8571
BARANYA,Bakonya,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,277,177,177,0,63.8989,84,47.4576
BARANYA,Bakonya,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,277,177,177,0,63.8989,13,7.3446
BARANYA,Bakonya,Megoldas,MEGOLDÁS MOZGALOM,277,177,177,0,63.8989,1,0.565
BARANYA,Bakonya,Mi_Hazank,MI HAZÁNK MOZGALOM,277,177,177,0,63.8989,15,8.4746
BARANYA,Bakonya,NEP,NORMÁLIS ÉLET PÁRTJA,277,177,177,0,63.8989,2,1.1299
BARANYA,Bakonya,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,277,177,177,0,63.8989,62,35.0282
BARANYA,Baksa,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,617,411,406,4,66.6126,240,59.1133
BARANYA,Baksa,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,617,411,406,4,66.6126,7,1.7241
BARANYA,Baksa,Megoldas,MEGOLDÁS MOZGALOM,617,411,406,4,66.6126,9,2.2167
BARANYA,Baksa,Mi_Hazank,MI HAZÁNK MOZGALOM,617,411,406,4,66.6126,25,6.1576
BARANYA,Baksa,NEP,NORMÁLIS ÉLET PÁRTJA,617,411,406,4,66.6126,2,0.4926
BARANYA,Baksa,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,617,411,406,4,66.6126,123,30.2956
BARANYA,Bakóca,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,221,107,107,0,48.4163,91,85.0467
BARANYA,Bakóca,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,221,107,107,0,48.4163,1,0.9346
BARANYA,Bakóca,Megoldas,MEGOLDÁS MOZGALOM,221,107,107,0,48.4163,1,0.9346
