"Vármegye","Egyéni választókerület","Választókerület jelöltjeire szavazók aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma","Belföldön más OEVK-ba átjelentkezettek száma","Külképviseleten szavazók száma","Választókerületi névjegyzékben szereplő választópolgárok aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma ","OEVK-ba átjelentkezett szavazók száma"
"Csongrád-Csanád vármegye","Csongrád-Csanád vármegye, 03. számú egyéni választókerület","77 761","75 024","2 073","664","75 941","75 024","917"
"Csongrád-Csanád vármegye","Csongrád-Csanád vármegye, 04. számú egyéni választókerület","76 377","73 792","1 933","652","74 802","73 792","1 010"
"Fejér vármegye","Fejér vármegye, 01. számú egyéni választókerület","69 963","67 468","1 597","898","70 280","67 468","2 812"
"Fejér vármegye","Fejér vármegye, 02. számú egyéni választókerület","66 228","63 780","1 735","713","64 489","63 780","709"
"Fejér vármegye","Fejér vármegye, 03. számú egyéni választókerület","69 239","66 595","1 837","807","68 929","66 595","2 334"
"Fejér vármegye","Fejér vármegye, 04. számú egyéni választókerület","66 729","64 368","1 768","593","65 806","64 368","1 438"
"Fejér vármegye","Fejér vármegye, 05. számú egyéni választókerület","65 460","63 469","1 651","340","64 124","63 469","655"
"Győr-Moson-Sopron vármegye","Győr-Moson-Sopron vármegye, 01. számú egyéni választókerület","65 652","63 106","1 742","804","67 788","63 106","4 682"
"Győr-Moson-Sopron vármegye","Győr-Moson-Sopron vármegye, 02. számú egyéni választókerület","73 257","70 900","1 716","641","71 643","70 900","743"
"Győr-Moson-Sopron vármegye","Győr-Moson-Sopron vármegye, 03. számú egyéni választókerület","66 633","64 863","1 446","324","65 877","64 863","1 014"
"Győr-Moson-Sopron vármegye","Győr-Moson-Sopron vármegye, 04. számú egyéni választókerület","75 117","72 580","2 020","517","76 425","72 580","3 845"
"Győr-Moson-Sopron vármegye","Győr-Moson-Sopron vármegye, 05. számú egyéni választókerület","78 547","76 405","1 613","529","78 502","76 405","2 097"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 01. számú egyéni választókerület","65 177","61 669","2 473","1 035","61 669","61 669","0"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 02. számú egyéni választókerület","69 491","66 353","2 269","869","70 729","66 353","4 376"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 03. számú egyéni választókerület","77 974","75 420","1 977","577","76 036","75 420","616"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 04. számú egyéni választókerület","67 072","64 767","1 904","401","65 695","64 767","928"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 05. számú egyéni választókerület","68 301","65 866","1 916","519","66 640","65 866","774"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 06. számú egyéni választókerület","68 093","65 943","1 661","489","66 612","65 943","669"
"Heves vármegye","Heves vármegye, 01. számú egyéni választókerület","79 000","75 272","2 806","922","77 035","75 272","1 763"
"Heves vármegye","Heves vármegye, 02. számú egyéni választókerület","74 007","71 057","2 363","587","72 601","71 057","1 544"
"Heves vármegye","Heves vármegye, 03. számú egyéni választókerület","78 352","75 975","1 967","410","76 972","75 975","997"
"Jász-Nagykun-Szolnok vármegye","Jász-Nagykun-Szolnok vármegye, 01. számú egyéni választókerület","74 779","71 535","2 406","838","73 054","71 535","1 519"
"Jász-Nagykun-Szolnok vármegye","Jász-Nagykun-Szolnok vármegye, 02. számú egyéni választókerület","69 530","67 317","1 783","430","68 189","67 317","872"
"Jász-Nagykun-Szolnok vármegye","Jász-Nagykun-Szolnok vármegye, 03. számú egyéni választókerület","72 187","69 095","2 659","433","69 803","69 095","708"
"Jász-Nagykun-Szolnok vármegye","Jász-Nagykun-Szolnok vármegye, 04. számú egyéni választókerület","71 419","68 725","2 210","484","69 374","68 725","649"
"Komárom-Esztergom vármegye","Komárom-Esztergom vármegye, 01. számú egyéni választókerület","77 401","74 949","1 693","759","76 694","74 949","1 745"
"Komárom-Esztergom vármegye","Komárom-Esztergom vármegye, 02. számú egyéni választókerület","80 817","78 177","1 825","815","80 113","78 177","1 936"
"Komárom-Esztergom vármegye","Komárom-Esztergom vármegye, 03. számú egyéni választókerület","81 088","78 709","1 807","572","80 208","78 709","1 499"
"Nógrád vármegye","Nógrád vármegye, 01. számú egyéni választókerület","71 832","68 768","2 528","536","69 769","68 768","1 001"
"Nógrád vármegye","Nógrád vármegye, 02. számú egyéni választókerület","77 051","74 066","2 474","511","75 300","74 066","1 234"
"Pest vármegye","Pest vármegye, 01. számú egyéni választókerület","79 671","76 748","1 875","1 048","78 987","76 748","2 239"
"Pest vármegye","Pest vármegye, 02. számú egyéni választókerület","77 871","74 334","1 702","1 835","77 787","74 334","3 453"
"Pest vármegye","Pest vármegye, 03. számú egyéni választókerület","81 963","78 536","1 814","1 613","81 365","78 536","2 829"
"Pest vármegye","Pest vármegye, 04. számú egyéni választókerület","76 341","72 827","2 131","1 383","75 908","72 827","3 081"
"Pest vármegye","Pest vármegye, 05. számú egyéni választókerület","75 965","73 117","1 579","1 269","75 676","73 117","2 559"
"Pest vármegye","Pest vármegye, 06. számú egyéni választókerület","76 890","73 990","1 735","1 165","76 701","73 990","2 711"
"Pest vármegye","Pest vármegye, 07. számú egyéni választókerület","76 365","73 954","1 770","641","75 638","73 954","1 684"
"Pest vármegye","Pest vármegye, 08. számú egyéni választókerület","70 426","68 301","1 368","757","70 407","68 301","2 106"
"Pest vármegye","Pest vármegye, 09. számú egyéni választókerület","76 078","73 569","1 870","639","75 617","73 569","2 048"
"Pest vármegye","Pest vármegye, 10. számú egyéni választókerület","74 474","71 737","1 788","949","73 882","71 737","2 145"
"Pest vármegye","Pest vármegye, 11. számú egyéni választókerület","74 824","72 213","1 833","778","74 355","72 213","2 142"
"Pest vármegye","Pest vármegye, 12. számú egyéni választókerület","73 911","71 505","1 979","427","72 633","71 505","1 128"
"Pest vármegye","Pest vármegye, 13. számú egyéni választókerület","70 090","68 074","1 568","448","69 462","68 074","1 388"
"Pest vármegye","Pest vármegye, 14. számú egyéni választókerület","73 447","71 301","1 643","503","72 202","71 301","901"
"Somogy vármegye","Somogy vármegye, 01. számú egyéni választókerület","59 107","56 350","2 138","619","57 492","56 350","1 142"
"Somogy vármegye","Somogy vármegye, 02. számú egyéni választókerület","57 032","54 737","1 932","363","55 373","54 737","636"
"Somogy vármegye","Somogy vármegye, 03. számú egyéni választókerület","60 981","57 830","2 598","553","59 378","57 830","1 548"
"Somogy vármegye","Somogy vármegye, 04. számú egyéni választókerület","63 489","59 894","2 904","691","62 236","59 894","2 342"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 01. számú egyéni választókerület","71 764","67 874","2 979","911","69 780","67 874","1 906"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 02. számú egyéni választókerület","70 921","68 221","2 219","481","68 634","68 221","413"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 03. számú egyéni választókerület","75 649","72 481","2 732","436","73 039","72 481","558"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 04. számú egyéni választókerület","70 013","66 530","3 093","390","67 179","66 530","649"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 05. számú egyéni választókerület","70 904","68 142","2 411","351","68 853","68 142","711"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 06. számú egyéni választókerület","70 408","68 044","1 979","385","68 723","68 044","679"
"Tolna vármegye","Tolna vármegye, 01. számú egyéni választókerület","57 094","54 896","1 673","525","55 678","54 896","782"
"Tolna vármegye","Tolna vármegye, 02. számú egyéni választókerület","56 292","54 326","1 509","457","55 010","54 326","684"
"Tolna vármegye","Tolna vármegye, 03. számú egyéni választókerület","56 773","54 736","1 648","389","55 467","54 736","731"
"Vas vármegye","Vas vármegye, 01. számú egyéni választókerület","67 196","64 689","1 924","583","66 521","64 689","1 832"
"Vas vármegye","Vas vármegye, 02. számú egyéni választókerület","66 913","64 697","1 814","402","66 082","64 697","1 385"
"Vas vármegye","Vas vármegye, 03. számú egyéni választókerület","64 940","62 778","1 855","307","64 180","62 778","1 402"
"Veszprém vármegye","Veszprém vármegye, 01. számú egyéni választókerület","68 896","66 123","2 008","765","68 325","66 123","2 202"
"Veszprém vármegye","Veszprém vármegye, 02. számú egyéni választókerület","73 585","69 442","3 103","1 040","72 430","69 442","2 988"
"Veszprém vármegye","Veszprém vármegye, 03. számú egyéni választókerület","65 381","62 337","2 494","550","63 950","62 337","1 613"
"Veszprém vármegye","Veszprém vármegye, 04. számú egyéni választókerület","66 523","64 216","1 864","443","65 311","64 216","1 095"
"Zala vármegye","Zala vármegye, 01. számú egyéni választókerület","72 857","69 399","2 831","627","70 675","69 399","1 276"
"Zala vármegye","Zala vármegye, 02. számú egyéni választókerület","72 849","69 171","2 988","690","71 351","69 171","2 180"
"Zala vármegye","Zala vármegye, 03. számú egyéni választókerület","69 407","66 502","2 376","529","67 859","66 502","1 357"
