country,region,name,2004,2010,2019,2024,diff_2004_2024,diff_2010_2024
Estonia,CEE,% of LAT_AM,168.8550112280862,159.92663263350389,211.47134893477931,195.3944072530331,26.53939602494691,35.46777461952922
Estonia,CEE,rel_val,142.89911192363456,156.91666616410785,220.3123714369038,214.5974276025511,71.69831567891654,57.680761438443255
Croatia,CEE,value,26.530769608628802,28.7061778436133,35.125507407631304,42.6337666808329,16.102997072204097,13.927588837219599
Croatia,CEE,% of DE,52.21549869447391,52.321065501534264,55.7807018689258,67.85596865333798,15.640469958864074,15.534903151803718
Croatia,CEE,% of W_EUR3,52.98773754752186,55.79580608178519,62.5354649681873,74.27729239627114,21.289554848749276,18.48148631448595
Croatia,CEE,% of S_EUR4,57.849565678490066,64.00807081393688,75.46223680024305,86.74486238017097,28.895296701680905,22.73679156623409
Croatia,CEE,% of G7,51.60058460242691,54.37144633089405,58.84928496112721,67.69333010592126,16.09274550349435,13.32188377502721
Croatia,CEE,% of EU8,51.959081379456215,53.127328457289245,58.37184152561085,69.89803297051795,17.93895159106173,16.7707045132287
Croatia,CEE,% of World,191.71326835157407,180.03447171417952,180.83069740905557,200.46265907452127,8.749390722947197,20.428187360341752
Croatia,CEE,% of LAT_AM,161.9303710754551,151.1197164780152,174.15233250131212,200.50968735727434,38.579316281819246,49.38997087925915
Croatia,CEE,rel_val,113.3808328959777,122.67757027713122,150.1109596336698,182.19795532028087,68.81712242430316,59.520385043149645
Hungary,CEE,value,26.568118861864,27.801833816111,37.66267681014,40.7021535135968,14.134034651732797,12.900319697485799
Hungary,CEE,% of DE,52.28900616946656,50.67277072134303,59.80982772296402,64.7816101640311,12.492603994564533,14.108839442688065
Hungary,CEE,% of W_EUR3,53.06233215812746,54.03804493836061,67.0524977457542,70.91200222396773,17.84967006584027,16.87395728560712
Hungary,CEE,% of S_EUR4,57.9310046306933,61.99159488781818,80.9129901810425,82.81470252312621,24.883697892432913,20.823107635308034
Hungary,CEE,% of G7,51.67322641907341,52.65855745297102,63.1000592895985,64.62634030073845,12.95311388166504,11.967782847767431
Hungary,CEE,% of EU8,52.032227877538894,51.453633601455564,62.58812938070645,66.73115442890283,14.698926551363932,15.277520827447262
Hungary,CEE,% of World,191.98315676845144,174.3627622958714,193.892376694602,191.38027339871866,-0.6028833697327798,17.017511102847266
Hungary,CEE,% of LAT_AM,162.15833198744463,146.358921997494,186.73162322215887,191.4251709654391,29.266838977994468,45.066248967945086
Hungary,CEE,rel_val,124.75051914511927,130.5434238599626,176.84498134355948,191.11683471252354,66.36631556740427,60.573410852560954
Lithuania,CEE,value,21.8672861464791,26.8874913057701,43.0623228425315,47.1690084190287,25.3017222725496,20.281517113258598
