country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of EU8-2004,var_name
Bulgaria,2023,202.2871949977566,152.60693825284523,33.1418444182014,52.86915495579815,54.48992403296943,GDP_per_cap
Bulgaria,2024,208.045106367074,156.95074866957737,34.0851952950467,54.25004928132255,55.88265569813764,GDP_per_cap
Czechia,2004,100,NA,33.4523408000614,65.83791888210435,65.51460525285256,GDP_per_cap
Czechia,2005,106.22798628216138,NA,35.535747996151095,69.28494212940426,68.71036114520724,GDP_per_cap
Czechia,2006,112.95735147485149,NA,37.7868781740905,70.8588417066525,70.83510527537106,GDP_per_cap
Czechia,2007,118.46407511309361,NA,39.6290061324728,72.12932435212163,72.32824820024277,GDP_per_cap
Czechia,2008,120.55462098764544,NA,40.3283426630095,72.6017913741779,73.24729714860905,GDP_per_cap
Czechia,2009,114.11800000932469,NA,38.1751422773334,72.57599529631449,72.6026120726367,GDP_per_cap
Czechia,2010,116.87489630562368,100,39.0973886218756,71.26051549489767,72.35863368688777,GDP_per_cap
Czechia,2011,118.7006997966092,101.56218619113135,39.7081626280195,68.4713607271498,71.10441865349269,GDP_per_cap
Czechia,2012,117.62121380639641,100.63856099501568,39.3470492956846,67.65527692095036,70.62292904303605,GDP_per_cap
Czechia,2013,117.533041422218,100.56311931595071,39.3175535692377,67.52849381039513,70.54089042515255,GDP_per_cap
Czechia,2014,120.04546009976018,102.71278426279463,40.1580164275735,67.78943917773833,71.24744966278563,GDP_per_cap
Czechia,2015,125.75076952463337,107.59433676484265,42.0665759800801,70.46405756442655,73.92502523353494,GDP_per_cap
Czechia,2016,128.74873609560277,110.15944412812948,43.069465974472706,71.09720009884768,74.75846285721168,GDP_per_cap
Czechia,2017,135.05040760938462,115.55125341564595,45.1775226053634,72.87696630499704,76.88126896098896,GDP_per_cap
Czechia,2018,138.4090946363431,118.42499887607025,46.301082036029,74.08706677667108,77.9120835034215,GDP_per_cap
Czechia,2019,142.78108918446068,122.1657461933427,47.7636165520254,75.85052150709659,79.37394964034435,GDP_per_cap
Czechia,2020,134.87827055388328,115.40397024283249,45.1199387309139,74.77286667384345,79.08304324206037,GDP_per_cap
Czechia,2021,142.87799477625455,122.24866014223765,47.7960337408466,76.4360287233164,79.84213483647885,GDP_per_cap
Czechia,2022,144.65553238231445,123.76954928288912,48.390661678675,76.89360892659857,79.44429640356566,GDP_per_cap
Czechia,2023,142.0215228831915,121.51584931618702,47.5095238443224,75.78903413782854,78.11244034740328,GDP_per_cap
