country,Code,varname,cntr_region,era,era_col,scale_type,value,value_end,change_val,pop,trans_rec_end_yr,era_num,era_low,era_high,scaling,change_val_lab,change_lab,change_sign
Poland,POL,% of DE,CEE: Poland,1989-1991,transition,lin,34.32728374947903,28.486568526811393,-5.840715222667637,37938044,1991,3,2.5,3.5,1,-6,-6,divergence
Poland,POL,% of DE,CEE: Poland,1991-2022,capitalism,lin,28.486568526811393,69.6032972020777,41.1167286752663,38152898,1991,4,3.5,4.5,1,41,+41,convergence
Romania,ROU,% of DE,CEE: Romania,1950-1975,socialism,lin,30.455493048819914,31.2376944719429,0.7822014231229844,16397220,1992,1,0.5,1.5,1,1,+1,convergence
Romania,ROU,% of DE,CEE: Romania,1975-1989,socialism,lin,31.2376944719429,23.798561360966925,-7.439133110975973,21268014,1992,2,1.5,2.5,1,-7,-7,divergence
Romania,ROU,% of DE,CEE: Romania,1989-1992,transition,lin,23.798561360966925,17.594647883672316,-6.203913477294609,22887592,1992,3,2.5,3.5,1,-6,-6,divergence
Romania,ROU,% of DE,CEE: Romania,1992-2022,capitalism,lin,17.594647883672316,56.16107926049149,38.566431376819175,22912341,1992,4,3.5,4.5,1,39,+39,convergence
Russia,RUS,% of DE,USSR: Russia,1950-1975,socialism,lin,53.52141448431943,58.16704006669098,4.645625582371551,103392314,1998,1,0.5,1.5,1,5,+5,convergence
Russia,RUS,% of DE,USSR: Russia,1975-1989,socialism,lin,58.16704006669098,48.36888568938734,-9.79815437730364,134136049,1998,2,1.5,2.5,1,-10,-10,divergence
Russia,RUS,% of DE,USSR: Russia,1989-1998,transition,lin,48.36888568938734,27.489911204724102,-20.87897448466324,148281823,1998,3,2.5,3.5,1,-21,-21,divergence
Russia,RUS,% of DE,USSR: Russia,1998-2022,capitalism,lin,27.489911204724102,54.53014036483999,27.040229160115885,147635488,1998,4,3.5,4.5,1,27,+27,convergence
Serbia,SRB,% of DE,Yugosl.: Serbia,1952-1979,socialism,lin,28.000551191952596,48.29410446088321,20.293553268930616,6127217,1993,1,0.5,1.5,1,20,+20,convergence
Serbia,SRB,% of DE,Yugosl.: Serbia,1979-1989,socialism,lin,48.29410446088321,41.53752889023605,-6.756575570647165,7758172,1993,2,1.5,2.5,1,-7,-7,divergence
Serbia,SRB,% of DE,Yugosl.: Serbia,1989-1993,transition,lin,41.53752889023605,17.15053715498915,-24.386991735246898,7881211,1993,3,2.5,3.5,1,-24,-24,divergence
Serbia,SRB,% of DE,Yugosl.: Serbia,1993-2022,capitalism,lin,17.15053715498915,36.65272224132876,19.502185086339612,7849677,1993,4,3.5,4.5,1,20,+20,convergence
Slovakia,SVK,% of DE,CEE: Slovakia,1985-1989,socialism,lin,48.957858533957655,48.247641420073506,-0.7102171138841484,5151107,1992,1,0.5,1.5,1,-1,-1,divergence
Slovakia,SVK,% of DE,CEE: Slovakia,1989-1992,transition,lin,48.247641420073506,35.9269499367447,-12.320691483328808,5249882,1992,2,1.5,2.5,1,-12,-12,divergence
Slovakia,SVK,% of DE,CEE: Slovakia,1992-2022,capitalism,lin,35.9269499367447,58.99375989770835,23.066809960963653,5306409,1992,3,2.5,3.5,1,23,+23,convergence
Slovenia,SVN,% of DE,Yugosl.: Slovenia,1952-1979,socialism,lin,54.20972853796334,95.79466487334679,41.584936335383446,1479622,1992,1,0.5,1.5,1,42,+42,convergence
Slovenia,SVN,% of DE,Yugosl.: Slovenia,1979-1989,socialism,lin,95.79466487334679,75.16008032432842,-20.63458454901837,1885870,1992,2,1.5,2.5,1,-21,-21,divergence
Slovenia,SVN,% of DE,Yugosl.: Slovenia,1989-1992,transition,lin,75.16008032432842,56.46404580892753,-18.69603451540089,1995417,1992,3,2.5,3.5,1,-19,-19,divergence
Slovenia,SVN,% of DE,Yugosl.: Slovenia,1992-2022,capitalism,lin,56.46404580892753,70.04353239176824,13.579486582840708,1995805,1992,4,3.5,4.5,1,14,+14,convergence
Ukraine,UKR,% of DE,USSR: Ukraine,1973-1989,socialism,lin,41.15025689420153,38.199522600689576,-2.9507342935119567,48277070,1998,1,0.5,1.5,1,-3,-3,divergence
Ukraine,UKR,% of DE,USSR: Ukraine,1989-1998,transition,lin,38.199522600689576,14.906074555959373,-23.293448044730205,51917779,1998,2,1.5,2.5,1,-23,-23,divergence
Ukraine,UKR,% of DE,USSR: Ukraine,1998-2022,capitalism,lin,14.906074555959373,16.611931887109858,1.7058573311504848,50379676,1998,3,2.5,3.5,1,2,+2,convergence
Belarus,BLR,% of W_EUR3,USSR: Belarus,1973-1989,socialism,lin,44.2844967807992,44.941373409133085,0.6568766283338832,9205662,1995,1,0.5,1.5,1,1,+1,convergence
Belarus,BLR,% of W_EUR3,USSR: Belarus,1989-1995,transition,lin,44.941373409133085,24.139218809864193,-20.802154599268892,10158729,1995,2,1.5,2.5,1,-21,-21,divergence
Belarus,BLR,% of W_EUR3,USSR: Belarus,1995-2022,capitalism,lin,24.139218809864193,45.28327019607981,21.14405138621562,10197421,1995,3,2.5,3.5,1,21,+21,convergence
Bulgaria,BGR,% of W_EUR3,CEE: Bulgaria,1950-1975,socialism,lin,40.123558030364514,48.93716688582743,8.813608855462917,7248464,1999,1,0.5,1.5,1,9,+9,convergence
Bulgaria,BGR,% of W_EUR3,CEE: Bulgaria,1975-1989,socialism,lin,48.93716688582743,37.44043788259401,-11.496729003233419,8723102,1999,2,1.5,2.5,1,-11,-11,divergence
Bulgaria,BGR,% of W_EUR3,CEE: Bulgaria,1989-1999,transition,lin,37.44043788259401,24.809472537433788,-12.630965345160224,8936335,1999,3,2.5,3.5,1,-13,-13,divergence
Bulgaria,BGR,% of W_EUR3,CEE: Bulgaria,1999-2022,capitalism,lin,24.809472537433788,49.86650946171213,25.05703692427834,8067415,1999,4,3.5,4.5,1,25,+25,convergence
Croatia,HRV,% of W_EUR3,Yugosl.: Croatia,1952-1979,socialism,lin,36.86028682763255,63.63739319054264,26.77710636291009,3957359,1993,1,0.5,1.5,1,27,+27,convergence
Croatia,HRV,% of W_EUR3,Yugosl.: Croatia,1979-1989,socialism,lin,63.63739319054264,52.748392450860905,-10.889000739681734,4626900,1993,2,1.5,2.5,1,-11,-11,divergence
Croatia,HRV,% of W_EUR3,Yugosl.: Croatia,1989-1993,transition,lin,52.748392450860905,31.81635635296494,-20.932036097895963,4820680,1993,3,2.5,3.5,1,-21,-21,divergence
Croatia,HRV,% of W_EUR3,Yugosl.: Croatia,1993-2022,capitalism,lin,31.81635635296494,65.35088331861735,33.534526965652404,4729691,1993,4,3.5,4.5,1,34,+34,convergence
Czechia,CZE,% of W_EUR3,CEE: Czechia,1970-1975,socialism,lin,51.43451620632659,57.67162195452971,6.2371057482031205,9801206,1992,1,0.5,1.5,1,6,+6,convergence
Czechia,CZE,% of W_EUR3,CEE: Czechia,1975-1989,socialism,lin,57.67162195452971,53.00535145126627,-4.666270503263441,10030738,1992,2,1.5,2.5,1,-5,-5,divergence
Czechia,CZE,% of W_EUR3,CEE: Czechia,1989-1992,transition,lin,53.00535145126627,46.37361105048224,-6.631740400784032,10305562,1992,3,2.5,3.5,1,-7,-7,divergence
Czechia,CZE,% of W_EUR3,CEE: Czechia,1992-2022,capitalism,lin,46.37361105048224,78.09001053458988,31.71639948410764,10312408,1992,4,3.5,4.5,1,32,+32,convergence
Estonia,EST,% of W_EUR3,Baltics: Estonia,1973-1989,socialism,lin,73.26241111116751,70.96225100900615,-2.3001601021613567,1399299,1994,1,0.5,1.5,1,-2,-2,divergence
Estonia,EST,% of W_EUR3,Baltics: Estonia,1989-1994,transition,lin,70.96225100900615,42.75835928632289,-28.20389172268326,1567538,1994,2,1.5,2.5,1,-28,-28,divergence
Estonia,EST,% of W_EUR3,Baltics: Estonia,1994-2022,capitalism,lin,42.75835928632289,72.81094154419839,30.052582257875493,1475669,1994,3,2.5,3.5,1,30,+30,convergence
Hungary,HUN,% of W_EUR3,CEE: Hungary,1950-1975,socialism,lin,60.26155961019412,48.71604144105016,-11.54551816914396,9337826,1992,1,0.5,1.5,1,-12,-12,divergence
Hungary,HUN,% of W_EUR3,CEE: Hungary,1975-1989,socialism,lin,48.71604144105016,41.578233550886345,-7.137807890163813,10515605,1992,2,1.5,2.5,1,-7,-7,divergence
Hungary,HUN,% of W_EUR3,CEE: Hungary,1989-1992,transition,lin,41.578233550886345,33.13708484154487,-8.441148709341476,10403359,1992,3,2.5,3.5,1,-8,-8,divergence
Hungary,HUN,% of W_EUR3,CEE: Hungary,1992-2022,capitalism,lin,33.13708484154487,71.32035524770959,38.183270406164716,10371431,1992,4,3.5,4.5,1,38,+38,convergence
Latvia,LVA,% of W_EUR3,Baltics: Latvia,1973-1989,socialism,lin,66.39754426815428,59.1799250786541,-7.2176191895001764,2415721,1994,1,0.5,1.5,1,-7,-7,divergence
Latvia,LVA,% of W_EUR3,Baltics: Latvia,1989-1994,transition,lin,59.1799250786541,30.83498713967427,-28.344937938979832,2664789,1994,2,1.5,2.5,1,-28,-28,divergence
Latvia,LVA,% of W_EUR3,Baltics: Latvia,1994-2022,capitalism,lin,30.83498713967427,65.91644838365171,35.081461243977444,2521185,1994,3,2.5,3.5,1,35,+35,convergence
Lithuania,LTU,% of W_EUR3,Baltics: Lithuania,1973-1989,socialism,lin,64.25791446325533,55.52203813170709,-8.73587633154824,3236175,1994,1,0.5,1.5,1,-9,-9,divergence
Lithuania,LTU,% of W_EUR3,Baltics: Lithuania,1989-1994,transition,lin,55.52203813170709,27.7379032390183,-27.78413489268879,3696048,1994,2,1.5,2.5,1,-28,-28,divergence
Lithuania,LTU,% of W_EUR3,Baltics: Lithuania,1994-2022,capitalism,lin,27.7379032390183,74.73834658372928,47.00044334471098,3654839,1994,3,2.5,3.5,1,47,+47,convergence
Poland,POL,% of W_EUR3,CEE: Poland,1950-1975,socialism,lin,59.453600424932226,48.74236589876174,-10.711234526170486,24780120,1991,1,0.5,1.5,1,-11,-11,divergence
Poland,POL,% of W_EUR3,CEE: Poland,1975-1989,socialism,lin,48.74236589876174,34.236007995185886,-14.506357903575854,33964338,1991,2,1.5,2.5,1,-15,-15,divergence
Poland,POL,% of W_EUR3,CEE: Poland,1989-1991,transition,lin,34.236007995185886,28.07755309710012,-6.158454898085765,37938044,1991,3,2.5,3.5,1,-6,-6,divergence
Poland,POL,% of W_EUR3,CEE: Poland,1991-2022,capitalism,lin,28.07755309710012,78.62519915860797,50.54764606150785,38152898,1991,4,3.5,4.5,1,51,+51,convergence
Romania,ROU,% of W_EUR3,CEE: Romania,1950-1975,socialism,lin,28.72030868642114,31.565397682802683,2.8450889963815413,16397220,1992,1,0.5,1.5,1,3,+3,convergence
Romania,ROU,% of W_EUR3,CEE: Romania,1975-1989,socialism,lin,31.565397682802683,23.73528132823358,-7.830116354569103,21268014,1992,2,1.5,2.5,1,-8,-8,divergence
Romania,ROU,% of W_EUR3,CEE: Romania,1989-1992,transition,lin,23.73528132823358,17.44220301227802,-6.293078315955558,22887592,1992,3,2.5,3.5,1,-6,-6,divergence
Romania,ROU,% of W_EUR3,CEE: Romania,1992-2022,capitalism,lin,17.44220301227802,63.44061588057498,45.99841286829696,22912341,1992,4,3.5,4.5,1,46,+46,convergence
Russia,RUS,% of W_EUR3,USSR: Russia,1950-1975,socialism,lin,50.47206239148726,58.77724917841608,8.305186786928815,103392314,1998,1,0.5,1.5,1,8,+8,convergence
Russia,RUS,% of W_EUR3,USSR: Russia,1975-1989,socialism,lin,58.77724917841608,48.24027351727848,-10.536975661137596,134136049,1998,2,1.5,2.5,1,-11,-11,divergence
Russia,RUS,% of W_EUR3,USSR: Russia,1989-1998,transition,lin,48.24027351727848,27.56184645445957,-20.678427062818912,148281823,1998,3,2.5,3.5,1,-21,-21,divergence
Russia,RUS,% of W_EUR3,USSR: Russia,1998-2022,capitalism,lin,27.56184645445957,61.5982764995278,34.03643004506823,147635488,1998,4,3.5,4.5,1,34,+34,convergence
Serbia,SRB,% of W_EUR3,Yugosl.: Serbia,1952-1979,socialism,lin,27.355771670470908,48.98542228444514,21.629650613974235,6127217,1993,1,0.5,1.5,1,22,+22,convergence
Serbia,SRB,% of W_EUR3,Yugosl.: Serbia,1979-1989,socialism,lin,48.98542228444514,41.42708119770672,-7.558341086738423,7758172,1993,2,1.5,2.5,1,-8,-8,divergence
Serbia,SRB,% of W_EUR3,Yugosl.: Serbia,1989-1993,transition,lin,41.42708119770672,17.014424856644766,-24.412656341061954,7881211,1993,3,2.5,3.5,1,-24,-24,divergence
Serbia,SRB,% of W_EUR3,Yugosl.: Serbia,1993-2022,capitalism,lin,17.014424856644766,41.40360732571143,24.38918246906666,7849677,1993,4,3.5,4.5,1,24,+24,convergence
