country,year,rel_val-2004,rel_val-2010,value-2004,% of S_EUR4-2004,% of EU8-2004,var_name
Czechia,2019,147.7136206947136,144.88016215028043,15.30009779,67.99130291879725,50.746744642977674,min_wage
Czechia,2020,154.85414985958283,151.88372091743807,16.03970998,67.59979575265628,53.301034209212716,min_wage
Czechia,2021,155.25650441934266,152.27835746879842,16.08138565,69.1685787456538,53.48851835736728,min_wage
Czechia,2022,143.7623844106188,141.00471890515922,14.89083085,65.76890626969343,49.998286256168356,min_wage
Czechia,2023,138.73327424382165,136.0720776699744,14.36991831,60.764603503833335,45.20004550697607,min_wage
Czechia,2024,147.9607904404225,145.12259065936803,15.3256995,63.044532670915885,47.88994208960529,min_wage
Estonia,2004,99.99999999999999,NA,6.449877649,40.04609816194933,23.69834861167479,min_wage
Estonia,2005,104.2151843925621,NA,6.721751885,40.0809379620313,24.214181246601843,min_wage
Estonia,2006,111.28527926592301,NA,7.177764354,41.397132412909414,25.437529652503468,min_wage
Estonia,2007,125.27484734927877,NA,8.080074379,45.44313766113051,28.361832524285322,min_wage
Estonia,2008,137.1639891242222,NA,8.846909476999999,49.036562480429694,31.00885222191545,min_wage
Estonia,2009,137.27162009612255,NA,8.853851543000001,46.91521829264726,30.360340592806498,min_wage
Estonia,2010,133.3095959166465,100,8.598305831,45.67335088103135,29.675324595694097,min_wage
Estonia,2011,126.98341093756768,95.25451642428325,8.19027464,44.35301154253908,28.403608621255852,min_wage
Estonia,2012,127.44235573638244,95.59878631397801,8.219876018,46.904756606510595,28.317786527348325,min_wage
Estonia,2013,136.82160050537107,102.63447245832212,8.82482583,50.846892716432855,30.325260743603202,min_wage
Estonia,2014,151.94777283131066,113.98112175384428,9.800445438,56.26878961600814,33.53922792332634,min_wage
Estonia,2015,167.75450153969268,125.83827922228741,10.8199601,61.224155985126316,36.45507648181622,min_wage
Estonia,2016,184.68546425600576,138.53876233447042,11.91198648,66.37119165087876,40.11805178231691,min_wage
Estonia,2017,195.19525865660336,146.4225116837438,12.58985536,67.05278858199617,41.80040201523525,min_wage
Estonia,2018,200.75597297582163,150.59379003845066,12.94851463,67.61475265625222,43.46298816813036,min_wage
Estonia,2019,211.98877395945468,159.0198908801759,13.67301655,60.76080184744872,45.350107488565115,min_wage
Estonia,2020,230.28568506726413,172.7450177039417,14.853144930000001,62.59898494452717,49.357998805183165,min_wage
Estonia,2021,220.04654293249217,165.06429369876645,14.19273279,61.04518459832706,47.206644060496345,min_wage
Estonia,2022,206.3866449011458,154.8175459403475,13.31168608,58.794236729047455,44.696061481357276,min_wage
Estonia,2023,209.59524607565157,157.22442531946734,13.518636930000001,57.16487701896537,42.52237147396054,min_wage
Estonia,2024,228.99738295485304,171.7786190710806,14.77005102,60.758790427900834,46.153644602539394,min_wage
Hungary,2004,100,NA,8.13302905,50.49647410610681,29.882637808743688,min_wage
Hungary,2005,103.84857566689743,NA,8.446034827,50.36261434784315,30.42567199965749,min_wage
Hungary,2006,109.56287270362078,NA,8.910780265,51.39215114062311,31.57922523488296,min_wage
Hungary,2007,106.35720460140246,NA,8.650062346999999,48.6488063814991,30.362544712193966,min_wage
Hungary,2008,105.65612525384992,NA,8.59304336,47.629435874206536,30.119039013509717,min_wage
Hungary,2009,105.05943205748169,NA,8.544514129,45.27608618913158,29.29960570228722,min_wage
Hungary,2010,102.99709159405991,100,8.3767833800000009,44.49664551239104,28.910784374880137,min_wage
Hungary,2011,105.16992964632286,102.10961107603572,8.55350093,46.320000507017035,29.663265694502766,min_wage
Hungary,2012,118.68658010019035,115.23294324461808,9.652814038,55.081474711885214,33.25431268278227,min_wage
Hungary,2013,122.93685134445695,119.35953670321601,9.998489832999999,57.6093114650055,34.358390416866804,min_wage
Hungary,2014,127.61783532544987,123.90430967548787,10.37919562,59.59165615684061,35.519835273018984,min_wage
Hungary,2015,132.09990563110065,128.255957121336,10.7437237,60.79277646041398,36.19821751311279,min_wage
Hungary,2016,139.0993076558604,135.05168495833777,11.3129871,63.033687640486555,38.100698238072816,min_wage
Hungary,2017,156.29406106695265,151.74609170805607,12.71144139,67.70034823466833,42.204087743792854,min_wage
Hungary,2018,164.28404236426525,159.50357415115585,13.36126889,69.77007919332503,44.84843924351176,min_wage
