"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bermuda","BMU","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109152.923701363","108624.2436657","106393.645030111","113362.024714776","109671.373888647","110141.223246788","99701.2101877777","105618.040686837","112428.001042844","116385.846954472","124697.887649463","",
"Bolivia","BOL","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","2147.96889265182","2169.58839953348","2074.13038028828","2080.29425921866","2018.5120023614","1953.85559880889","1764.65062126658","1713.88736331012","1625.5006210659","1617.76410385187","1514.85899512155","1559.77638565185","1566.31018189556","1603.17838785883","1641.34755017353","1647.53492063974","1633.84665992169","1644.79155365887","1710.83619544069","1771.99509160828","1833.25965761918","1890.28373317872","1945.64980784733","1912.48071610816","1917.43401358584","1935.42339987206","1967.04266279662","2020.70908258476","2123.3083431841","2191.58570140383","2366.79632578555","2397.01977008574","2546.61839354223","2463.80205708144","2622.85423008204","2773.19123135284","2866.69074115731","2958.92312981842","2969.0729328379","2893.68625909748","2985.96459288253","3138.05890846698","3220.77317527652","3231.54951817585","2787.48984727268","3041.69447079457","3098.48983953479","3070.64632234866","3039.77136301269","",
"Brazil","BRA","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","3722.70420249233","4033.96964647251","4413.28432747001","4956.174530405","5117.45851861617","5270.58285109289","5734.59633459264","5923.04981414932","6004.52880664351","6203.9209515518","6495.05121286921","6096.67464172979","5684.38918945689","5443.18525931269","5552.8271386225","5905.09889749163","6277.00621411598","6421.04120840636","6279.58367728804","6988.90003205145","6055.52445869566","6031.85353780454","5925.70311407575","6075.33177958861","6235.00636354605","6545.59742117588","6605.34624890922","6702.95942134066","6589.85597323124","6379.02729800824","6542.57594564359","6494.41878554636","6698.482404156","6729.84263155867","7097.21526180705","7217.1494180901","7468.34494531542","7849.23363137138","8148.33288549355","8090.75697727197","8659.48072698364","9050.2205254176","9106.24346598642","9374.75433644024","9256.6230124639","8768.04385331647","8414.71386873626","8523.39366574669","8539.66035327419","8549.92072521028","8303.50086633036","8651.01348681314","8836.15226923552","9121.42238263824","9319.63505946001","",
"Barbados","BRB","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19660.9471665651","","","","","","","","","","",
"Brunei Darussalam","BRN","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34786.3504657304","34424.9215757367","28450.8326261636","26777.1697766786","24831.0723922384","21978.6195135063","23835.4112616682","25020.7745201905","21911.811711268","22297.5332096877","24812.9231390267","24677.7489124596","23883.887590229","25847.1840424534","28331.1755023446","32318.8971738655","35425.6880230741","34771.5030966008","41935.7749707006","33380.1758958877","34973.0542450404","41990.1666697483","42367.4578238956","40399.9036339536","38590.3323430785","32166.0124177216","29595.7504713904","31096.7417710612","30285.2016840057","30229.2453907199","27478.7319713696","31050.9939385139","35124.8610294551","31363.6428048251","31790.2181323807","",
"Bhutan","BTN","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","749.17317155265","713.115919061797","745.937742369626","772.637745528723","846.712166033563","887.962716303271","937.894898519483","1003.6156034266","976.533471033377","1006.38644785105","1228.58477880106","1293.88637349771","1386.63798402766","1457.14373619786","1500.93271223357","1592.94918312392","1648.7089754165","1869.36057781245","1916.32172932199","2021.53486061924","2225.35286136032","2368.01962961399","2415.75481378164","2441.05825006378","2585.89528304802","2761.26181764572","2892.38473433997","2906.8302389195","2940.4353532921","3056.19971808914","2841.65961469731","2936.68575466367","2940.46919485316","3054.19885141451","","",
"Botswana","BWA","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","1122.42469933797","1058.04050182029","1015.84715937344","1128.8476240386","1333.94212954379","1357.27075232222","1495.23494705444","1435.42875283734","1179.91800251977","1227.75892814944","1459.4641635346","1547.26208444508","1637.32475331616","2220.25986090331","2635.77297470608","2955.69339179428","3171.29826173925","3195.5707959123","3366.9930299454","2929.18484918821","3147.80349399735","3078.92086527771","3377.18789621037","3850.50242776539","3637.41062190636","3564.74492951495","3696.72256385864","3446.44341538034","3882.44810048173","3796.7114298354","3721.24116753113","4163.46650848503","4598.23128384207","4977.99658032885","4653.38132951696","4982.4522634371","5699.04553944803","5695.09594939136","5777.77684137182","6421.62436727274","5935.1894706233","6448.46545159844","6112.82960041394","6089.24580327031","6898.24262416054","6600.67699750867","7085.15184334766","7611.02357997632","7504.23152401124","","",
"Central African Republic","CAF","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","565.396874780082","586.964537430763","571.749987389256","584.807136618066","356.649317342665","352.739115094121","370.870930516998","387.280283445101","408.750638069391","509.122487527623","518.991035040013","506.664683029303","508.938833265995","506.844689497","507.371551862906","498.945896171723","",
"Canada","CAN","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","20095.0977216306","20442.3887698428","21428.0428107232","22982.2127077407","24037.7158452981","24026.8221030987","24923.2309282335","25139.2906987269","25506.9364628432","26459.3553214737","26677.2097872618","26835.5839695641","25458.1010687312","26050.3562124824","27177.7571133034","28144.0143872794","28123.7696518001","29197.8848473336","30218.1947924769","30462.946784283","29851.2078326585","28821.5786920647","28552.1127321358","28918.7112552562","29786.6909668971","30609.4391499696","30995.7536689194","31960.4485452932","32338.9568239934","33917.6436696079","36256.8430787575","36281.934959087","36687.8279026547","37699.4755936224","39183.2382614012","40574.4733611708","41530.7537979554","42411.5630800493","42985.5472653474","39884.1295955486","41196.8875204684","42531.025793395","42668.8315548358","43403.7932720058","43953.0692251857","42926.3435664027","42854.5745157071","44126.9857179483","44588.4084591672","44869.7480792791","41926.7469439487","45784.6819186274","47297.453701104","45539.1867810997","44910.933765641","",
"Central Europe and the Baltics","CEB","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6047.13913214357","6311.55233239575","6449.12986899557","6710.1065371147","6830.21640570948","7094.51807015335","7372.4428719903","7696.79083579816","7972.31216702374","8424.44812418705","8918.17571566208","9456.24930962587","10151.7632712757","10673.110047731","10404.6454284572","10525.8119929121","10846.7917178406","10925.2353883959","11122.6257144457","11591.0002936203","12140.2602278192","12605.1656171024","13286.0776921482","13972.9185766612","14685.1032194622","14522.5940160736","15464.3638230565","15731.5384196684","16052.7940055222","16540.6855995544","",
"Switzerland","CHE","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69329.9754017801","69342.7161884173","71298.2628087527","73806.6070068733","75359.1821215881","78033.773857329","76882.4183447967","76081.7345221731","78849.8478897775","79804.3926548981","82610.6210100555","84463.2899579821","81292.3820508214","76505.5208458501","80744.924317301","86012.4552558987","82962.5361349627","84115.4867091465","83775.8986790911","83010.2640176576","84653.4883361355","82983.4360291652","81909.3498434645","81694.4355917948","82162.647382115","78260.0468615769","82756.474446769","86335.6962863226","84381.3644793727","","",
"Channel Islands","CHI","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
