variable,init_yr,last_yr,country,unit,val_init,val_2010,val_last,unit_clean
actual_indiv_consump,2004,2024,France,constant-euro_2006,96.44934785323204,96.30012234665698,92.49815528637076,constant price
actual_indiv_consump,2004,2024,France,current-PPS,95.68225993021122,95.58284434670232,93.60977961236529,current PPP/PPS
actual_indiv_consump,2004,2024,Germany,constant-PPS,103.17544896089042,102.9353708349102,105.73190934634064,constant PPP/PPS
actual_indiv_consump,2004,2024,Germany,constant-euro_2006,99.11237488024288,97.5244229144098,100.20650733501073,constant price
actual_indiv_consump,2004,2024,Germany,current-PPS,103.1754489608904,102.93537083491016,105.73190934634064,current PPP/PPS
actual_indiv_consump,2004,2024,Hungary,constant-PPS,53.02872237096044,52.44802228254949,64.31463275525816,constant PPP/PPS
actual_indiv_consump,2004,2024,Hungary,constant-euro_2006,28.267089778523022,24.71659836030552,36.71042876411732,constant price
actual_indiv_consump,2004,2024,Hungary,current-PPS,53.02872237096044,52.44802228254948,64.31463275525815,current PPP/PPS
actual_indiv_consump,2004,2024,Latvia,constant-PPS,39.77154177822032,46.075832659436,63.9779069293144,constant PPP/PPS
actual_indiv_consump,2004,2024,Latvia,constant-euro_2006,19.138870333479897,21.846421550016732,32.40520841797193,constant price
actual_indiv_consump,2004,2024,Latvia,current-PPS,39.77154177822032,46.07583265943599,63.9779069293144,current PPP/PPS
actual_indiv_consump,2004,2024,Lithuania,constant-PPS,47.84112996510561,55.879201310379834,78.12039161895233,constant PPP/PPS
actual_indiv_consump,2004,2024,Lithuania,constant-euro_2006,21.447176383818135,25.605494594274457,38.95452837328993,constant price
actual_indiv_consump,2004,2024,Lithuania,current-PPS,47.84112996510561,55.87920131037981,78.12039161895231,current PPP/PPS
actual_indiv_consump,2004,2024,Netherlands,constant-PPS,108.93944052295134,104.40587613255178,106.74208682417192,constant PPP/PPS
actual_indiv_consump,2004,2024,Netherlands,constant-euro_2006,106.11892437875804,108.456239587884,108.2894004492764,constant price
actual_indiv_consump,2004,2024,Netherlands,current-PPS,108.93944052295132,104.40587613255175,106.7420868241719,current PPP/PPS
actual_indiv_consump,2004,2024,Poland,constant-PPS,47.26473080889952,59.80054877075736,75.08985918545848,constant PPP/PPS
actual_indiv_consump,2004,2024,Poland,constant-euro_2006,23.946679713950015,29.093884948497852,40.722557465346085,constant price
actual_indiv_consump,2004,2024,Poland,current-PPS,47.264730808899515,59.800548770757345,75.08985918545848,current PPP/PPS
actual_indiv_consump,2004,2024,Romania,constant-PPS,32.85475190374723,47.056169524530375,76.10003666328977,constant PPP/PPS
actual_indiv_consump,2004,2024,Romania,constant-euro_2006,14.35563833047423,20.354661779531018,36.87932407972164,constant price
actual_indiv_consump,2004,2024,Romania,current-PPS,32.85475190374722,47.056169524530375,76.10003666328976,current PPP/PPS
actual_indiv_consump,2004,2024,Slovakia,constant-PPS,47.26473080889952,63.2317277985877,68.69206849252704,constant PPP/PPS
actual_indiv_consump,2004,2024,Slovakia,constant-euro_2006,28.33833999942804,35.821251814297376,42.41667686692311,constant price
actual_indiv_consump,2004,2024,Slovakia,current-PPS,47.264730808899515,63.23172779858769,68.69206849252704,current PPP/PPS
actual_indiv_consump,2004,2024,Slovenia,constant-PPS,67.43870127611272,68.13341212405962,76.10003666328977,constant PPP/PPS
actual_indiv_consump,2004,2024,Slovenia,constant-euro_2006,46.57428447981336,50.01564002088716,57.7124706811733,constant price
actual_indiv_consump,2004,2024,Slovenia,current-PPS,67.43870127611272,68.1334121240596,76.10003666328976,current PPP/PPS
actual_indiv_consump,2004,2024,Sweden,constant-PPS,99.71705402365389,101.46486553726864,91.25269883075896,constant PPP/PPS
actual_indiv_consump,2004,2024,Sweden,constant-euro_2006,113.38607760978113,116.69893010032426,123.66785372520032,constant price
actual_indiv_consump,2004,2024,Sweden,current-PPS,99.71705402365384,101.4648655372686,91.25269883075894,current PPP/PPS
median_equiv_net_income,2007,2024,Austria,constant_PPS,107.95069622945016,109.57356379190573,119.8492308497491,constant PPP/PPS
median_equiv_net_income,2007,2024,Austria,constant_euro_2007,102.69272609630858,105.5892486475024,107.318294760666,constant price
median_equiv_net_income,2007,2024,Austria,current_PPS,107.95069622945016,109.5735637919057,119.8492308497491,current PPP/PPS
median_equiv_net_income,2007,2024,Belgium,constant_PPS,98.87095771447451,97.27769861952032,106.1196109839384,constant PPP/PPS
median_equiv_net_income,2007,2024,Belgium,constant_euro_2007,99.7362895268098,96.5389682846316,101.44374047511144,constant price
median_equiv_net_income,2007,2024,Belgium,current_PPS,98.87095771447451,97.27769861952032,106.1196109839384,current PPP/PPS
median_equiv_net_income,2007,2024,Bulgaria,constant_PPS,19.977849229212115,33.04162855684388,52.67518281752365,constant PPP/PPS
median_equiv_net_income,2007,2024,Bulgaria,constant_euro_2007,7.948084987013153,12.812932752174,22.356792598322524,constant price
median_equiv_net_income,2007,2024,Bulgaria,current_PPS,19.977849229212115,33.041628556843875,52.675182817523634,current PPP/PPS
median_equiv_net_income,2007,2024,Croatia,constant_PPS,NA,42.72111328615549,65.55500808325043,constant PPP/PPS
median_equiv_net_income,2007,2024,Croatia,constant_euro_2007,NA,27.23370849857992,39.949369004840094,constant price
median_equiv_net_income,2007,2024,Croatia,current_PPS,NA,42.721113286155486,65.55500808325043,current PPP/PPS
median_equiv_net_income,2007,2024,Czechia,constant_PPS,53.58742871221612,54.23655596586438,68.35409456219979,constant PPP/PPS
median_equiv_net_income,2007,2024,Czechia,constant_euro_2007,31.09817925434016,32.608385298656444,37.13450498607921,constant price
median_equiv_net_income,2007,2024,Czechia,current_PPS,53.58742871221611,54.236555965864376,68.35409456219979,current PPP/PPS
median_equiv_net_income,2007,2024,Denmark,constant_PPS,102.28343620842064,100.79240711171816,97.85525781155836,constant PPP/PPS
median_equiv_net_income,2007,2024,Denmark,constant_euro_2007,132.8204632768215,127.37209088752851,131.14418497243125,constant price
median_equiv_net_income,2007,2024,Denmark,current_PPS,102.28343620842064,100.79240711171816,97.85525781155836,current PPP/PPS
median_equiv_net_income,2007,2024,Estonia,constant_PPS,39.33745191067556,41.62066142597854,66.10677045392102,constant PPP/PPS
median_equiv_net_income,2007,2024,Estonia,constant_euro_2007,24.08194870113191,25.447615788444217,38.86511129828797,constant price
median_equiv_net_income,2007,2024,Estonia,current_PPS,39.337451910675554,41.62066142597853,66.10677045392102,current PPP/PPS
median_equiv_net_income,2007,2024,Finland,constant_PPS,92.37936896311342,96.6320253342124,92.81287468688984,constant PPP/PPS
median_equiv_net_income,2007,2024,Finland,constant_euro_2007,106.43776896949166,105.68934189404972,103.27170160690248,constant price
median_equiv_net_income,2007,2024,Finland,current_PPS,92.37936896311342,96.6320253342124,92.81287468688984,current PPP/PPS
median_equiv_net_income,2007,2024,France,constant_PPS,91.92477591329823,99.83793355952383,93.525735559946,constant PPP/PPS
median_equiv_net_income,2007,2024,France,constant_euro_2007,93.63755792208391,100.97740590453988,94.63986780987462,constant price
median_equiv_net_income,2007,2024,France,current_PPS,91.92477591329822,99.83793355952383,93.525735559946,current PPP/PPS
median_equiv_net_income,2007,2024,Germany,constant_PPS,104.99887202598345,98.65887799504854,101.45983680243562,constant PPP/PPS
median_equiv_net_income,2007,2024,Germany,constant_euro_2007,100.43355483275194,95.2639121749678,96.52808459551416,constant price
median_equiv_net_income,2007,2024,Germany,current_PPS,104.99887202598346,98.65887799504851,101.45983680243562,current PPP/PPS
median_equiv_net_income,2007,2024,Hungary,constant_PPS,39.33745191067556,37.662403459525706,45.13577290587869,constant PPP/PPS
median_equiv_net_income,2007,2024,Hungary,constant_euro_2007,22.160516105090306,20.48745625866658,28.811420264884795,constant price
median_equiv_net_income,2007,2024,Hungary,current_PPS,39.337451910675554,37.66240345952569,45.13577290587869,current PPP/PPS
median_equiv_net_income,2007,2024,Latvia,constant_PPS,33.852029109572115,32.99109760408066,59.07884828735027,constant PPP/PPS
median_equiv_net_income,2007,2024,Latvia,constant_euro_2007,17.657551681914157,18.72876600653743,32.725898312306505,constant price
median_equiv_net_income,2007,2024,Latvia,current_PPS,33.85202910957211,32.99109760408065,59.07884828735027,current PPP/PPS
median_equiv_net_income,2007,2024,Lithuania,constant_PPS,34.597561711269044,33.76029099614312,60.85495927615124,constant PPP/PPS
median_equiv_net_income,2007,2024,Lithuania,constant_euro_2007,17.877629712589016,17.546432842689725,31.59447841519428,constant price
median_equiv_net_income,2007,2024,Lithuania,current_PPS,34.59756171126904,33.76029099614312,60.85495927615124,current PPP/PPS
median_equiv_net_income,2007,2024,Netherlands,constant_PPS,106.30203876878704,105.63214947637395,109.25700431789748,constant PPP/PPS
median_equiv_net_income,2007,2024,Netherlands,constant_euro_2007,103.82408208354138,103.5659410434294,109.4369605965301,constant price
median_equiv_net_income,2007,2024,Netherlands,current_PPS,106.30203876878704,105.63214947637395,109.25700431789748,current PPP/PPS
median_equiv_net_income,2007,2024,Poland,constant_PPS,33.997498885512975,42.507760374488534,73.04206098162005,constant PPP/PPS
median_equiv_net_income,2007,2024,Poland,constant_euro_2007,20.320401552493472,23.816522304850984,40.65818400830506,constant price
median_equiv_net_income,2007,2024,Poland,current_PPS,33.99749888551297,42.50776037448853,73.04206098162005,current PPP/PPS
median_equiv_net_income,2007,2024,Romania,constant_PPS,16.868432768476126,19.858664435948477,52.489919539780225,constant PPP/PPS
median_equiv_net_income,2007,2024,Romania,constant_euro_2007,9.343045965832248,11.026023306935627,27.824395945851965,constant price
median_equiv_net_income,2007,2024,Romania,current_PPS,16.868432768476126,19.858664435948477,52.489919539780225,current PPP/PPS
median_equiv_net_income,2007,2024,Slovakia,constant_PPS,33.97931516352037,46.937640566731496,46.045979444357194,constant PPP/PPS
median_equiv_net_income,2007,2024,Slovakia,constant_euro_2007,27.836601876136125,30.693872875611365,31.362916645553785,constant price
median_equiv_net_income,2007,2024,Slovakia,current_PPS,33.97931516352036,46.93764056673149,46.045979444357194,current PPP/PPS
median_equiv_net_income,2007,2024,Slovenia,constant_PPS,78.32335186282737,74.9486320484807,86.880422336541,constant PPP/PPS
median_equiv_net_income,2007,2024,Slovenia,constant_euro_2007,55.166642882276705,56.21734837194088,66.19585199442538,constant price
median_equiv_net_income,2007,2024,Slovenia,current_PPS,78.32335186282735,74.9486320484807,86.880422336541,current PPP/PPS
median_equiv_net_income,2007,2024,Sweden,constant_PPS,96.44040020812923,98.67572164596965,95.60793370327958,constant PPP/PPS
median_equiv_net_income,2007,2024,Sweden,constant_euro_2007,107.20586135308083,107.43862559578471,118.77827179781455,constant price
median_equiv_net_income,2007,2024,Sweden,current_PPS,96.44040020812923,98.6757216459696,95.60793370327958,current PPP/PPS
median_hourly_earnings,2006,2022,Austria,constant_PPS,84.75747423515924,85.60092109277164,93.61252783153418,constant PPP/PPS
median_hourly_earnings,2006,2022,Austria,constant_euro_2006,82.56035502653091,85.00956330623993,86.3113249618123,constant price
median_hourly_earnings,2006,2022,Austria,current_PPS,84.75747423515924,85.60092109277164,93.61252783153418,current PPP/PPS
median_hourly_earnings,2006,2022,Belgium,constant_PPS,100.66862463309528,107.83966124038268,126.84140221448334,constant PPP/PPS
median_hourly_earnings,2006,2022,Belgium,constant_euro_2006,101.12757650030866,106.57069852714991,115.75519716610428,constant price
median_hourly_earnings,2006,2022,Belgium,current_PPS,100.66862463309528,107.83966124038268,126.84140221448334,current PPP/PPS
median_hourly_earnings,2006,2022,Bulgaria,constant_PPS,15.98764631331072,24.936554526173676,40.01756914935812,constant PPP/PPS
median_hourly_earnings,2006,2022,Bulgaria,constant_euro_2006,5.652481133445369,8.437488423170494,17.630746814461055,constant price
median_hourly_earnings,2006,2022,Bulgaria,current_PPS,15.98764631331072,24.936554526173683,40.01756914935813,current PPP/PPS
median_hourly_earnings,2006,2022,Croatia,constant_PPS,NA,50.310592465087254,55.976956845828326,constant PPP/PPS
median_hourly_earnings,2006,2022,Croatia,constant_euro_2006,NA,29.608264577576293,33.99484246122032,constant price
median_hourly_earnings,2006,2022,Croatia,current_PPS,NA,50.310592465087254,55.976956845828326,current PPP/PPS
median_hourly_earnings,2006,2022,Czechia,constant_PPS,44.75011049419509,46.22741394618161,60.80050312722417,constant PPP/PPS
median_hourly_earnings,2006,2022,Czechia,constant_euro_2006,25.72466645106159,26.54226675352517,32.45982563891332,constant price
median_hourly_earnings,2006,2022,Czechia,current_PPS,44.75011049419509,46.22741394618161,60.80050312722418,current PPP/PPS
median_hourly_earnings,2006,2022,Denmark,constant_PPS,116.80926277715538,131.9741628431999,133.33234721043576,constant PPP/PPS
median_hourly_earnings,2006,2022,Denmark,constant_euro_2006,148.6095122142445,160.43585135351012,160.1929362351062,constant price
median_hourly_earnings,2006,2022,Denmark,current_PPS,116.80926277715538,131.9741628431999,133.33234721043576,current PPP/PPS
median_hourly_earnings,2006,2022,Estonia,constant_PPS,34.882137410859755,43.45668566549566,62.229702025415534,constant PPP/PPS
median_hourly_earnings,2006,2022,Estonia,constant_euro_2006,20.653349248576266,23.790932490120696,35.04546296825684,constant price
median_hourly_earnings,2006,2022,Estonia,current_PPS,34.882137410859755,43.456685665495655,62.229702025415534,current PPP/PPS
median_hourly_earnings,2006,2022,Finland,constant_PPS,89.95919648063833,97.41297323674864,92.8383784283472,constant PPP/PPS
median_hourly_earnings,2006,2022,Finland,constant_euro_2006,97.22987733596604,103.35863112787524,100.101615165923,constant price
median_hourly_earnings,2006,2022,Finland,current_PPS,89.95919648063833,97.41297323674864,92.83837842834718,current PPP/PPS
median_hourly_earnings,2006,2022,France,constant_PPS,91.3361229573828,89.17370229681407,92.18332893334282,constant PPP/PPS
median_hourly_earnings,2006,2022,France,constant_euro_2006,93.75738171682436,90.9307160030831,91.86973455498143,constant price
median_hourly_earnings,2006,2022,France,current_PPS,91.3361229573828,89.17370229681407,92.18332893334282,current PPP/PPS
median_hourly_earnings,2006,2022,Germany,constant_PPS,110.30710997030651,107.4021778276428,103.20007044023455,constant PPP/PPS
median_hourly_earnings,2006,2022,Germany,constant_euro_2006,105.09614292218484,102.04339702940058,100.53849760534676,constant price
median_hourly_earnings,2006,2022,Germany,current_PPS,110.30710997030651,107.4021778276428,103.20007044023455,current PPP/PPS
median_hourly_earnings,2006,2022,Hungary,constant_PPS,33.964186426363455,41.050526895426266,52.76125932489777,constant PPP/PPS
median_hourly_earnings,2006,2022,Hungary,constant_euro_2006,19.75430090243624,20.893645019452663,32.97715953617851,constant price
median_hourly_earnings,2006,2022,Hungary,current_PPS,33.964186426363455,41.050526895426266,52.76125932489776,current PPP/PPS
median_hourly_earnings,2006,2022,Latvia,constant_PPS,26.00861122739544,22.894965266720867,53.17810900353691,constant PPP/PPS
median_hourly_earnings,2006,2022,Latvia,constant_euro_2006,13.71356313361392,15.690387371385487,27.63575243958551,constant price
median_hourly_earnings,2006,2022,Latvia,current_PPS,26.00861122739543,22.894965266720867,53.17810900353691,current PPP/PPS
median_hourly_earnings,2006,2022,Lithuania,constant_PPS,30.292382488378212,33.17582546610826,69.79254619501148,constant PPP/PPS
median_hourly_earnings,2006,2022,Lithuania,constant_euro_2006,15.16766198947482,15.339765291139374,33.83074045636013,constant price
median_hourly_earnings,2006,2022,Lithuania,current_PPS,30.292382488378212,33.17582546610826,69.7925461950115,current PPP/PPS
median_hourly_earnings,2006,2022,Netherlands,constant_PPS,91.56561070350688,100.98575444079108,96.4113756738256,constant PPP/PPS
median_hourly_earnings,2006,2022,Netherlands,constant_euro_2006,90.42662061274972,103.01921437436684,94.98104958550412,constant price
median_hourly_earnings,2006,2022,Netherlands,current_PPS,91.56561070350688,100.98575444079108,96.4113756738256,current PPP/PPS
median_hourly_earnings,2006,2022,Poland,constant_PPS,41.46078613308331,49.071056128990904,66.87459844453745,constant PPP/PPS
median_hourly_earnings,2006,2022,Poland,constant_euro_2006,22.962512285877462,26.283442479882336,37.931219957690175,constant price
median_hourly_earnings,2006,2022,Poland,current_PPS,41.46078613308331,49.071056128990904,66.87459844453745,current PPP/PPS
median_hourly_earnings,2006,2022,Romania,constant_PPS,21.265864474164506,28.509335730216108,59.13310441266758,constant PPP/PPS
median_hourly_earnings,2006,2022,Romania,constant_euro_2006,10.39009652321618,13.631926194581736,31.134095877661633,constant price
median_hourly_earnings,2006,2022,Romania,current_PPS,21.265864474164506,28.50933573021611,59.13310441266758,current PPP/PPS
median_hourly_earnings,2006,2022,Slovakia,constant_PPS,28.303488688636214,42.80046054638582,58.00165528493275,constant PPP/PPS
median_hourly_earnings,2006,2022,Slovakia,constant_euro_2006,22.06986025955402,25.79680765100018,37.20559642045828,constant price
median_hourly_earnings,2006,2022,Slovakia,current_PPS,28.303488688636207,42.80046054638582,58.00165528493276,current PPP/PPS
median_hourly_earnings,2006,2022,Slovenia,constant_PPS,56.14800188502426,62.41430021755752,73.48464334867252,constant PPP/PPS
median_hourly_earnings,2006,2022,Slovenia,constant_euro_2006,38.831495521299736,45.11728508796307,52.729527860825165,constant price
