country,year,value,pop,year_end,value_end,era,start_val,end_val,diff_end_start,country_val_str,facet_id,var,start_year
Croatia,2010,6.9,4301108,2014,7.41,2010-2014,6.9,9.4,2.5,Croatia (+2.5k PPS),value-2010,value,2010
Croatia,2014,7.41,4219439,2018,7.66,2014-2018,6.9,9.4,2.5,Croatia (+2.5k PPS),value-2010,value,2010
Croatia,2018,7.66,4024820,2022,9.4,2018-2022,6.9,9.4,2.5,Croatia (+2.5k PPS),value-2010,value,2010
Czechia,2010,6.34,10463981,2014,7.15,2010-2014,6.34,10.21,3.870000000000001,Czechia (+3.9k PPS),value-2010,value,2010
Czechia,2014,7.15,10517176,2018,8.4,2014-2018,6.34,10.21,3.870000000000001,Czechia (+3.9k PPS),value-2010,value,2010
Czechia,2018,8.4,10548878,2022,10.21,2018-2022,6.34,10.21,3.870000000000001,Czechia (+3.9k PPS),value-2010,value,2010
Estonia,2010,5.96,1331406,2014,6.49,2010-2014,5.96,10.45,4.489999999999999,Estonia (+4.5k PPS),value-2010,value,2010
Estonia,2014,6.49,1314402,2018,7.86,2014-2018,5.96,10.45,4.489999999999999,Estonia (+4.5k PPS),value-2010,value,2010
Estonia,2018,7.86,1321918,2022,10.45,2018-2022,5.96,10.45,4.489999999999999,Estonia (+4.5k PPS),value-2010,value,2010
Hungary,2010,5.63,9979076,2014,6.24,2010-2014,5.63,8.86,3.2299999999999995,Hungary (+3.2k PPS),value-2010,value,2010
Hungary,2014,6.24,9862785,2018,6.78,2014-2018,5.63,8.86,3.2299999999999995,Hungary (+3.2k PPS),value-2010,value,2010
Hungary,2018,6.78,9774342,2022,8.86,2018-2022,5.63,8.86,3.2299999999999995,Hungary (+3.2k PPS),value-2010,value,2010
Latvia,2010,3.14,2097787,2014,4.78,2010-2014,3.14,8.93,5.789999999999999,Latvia (+5.8k PPS),value-2010,value,2010
Latvia,2014,4.78,1994096,2018,6.43,2014-2018,3.14,8.93,5.789999999999999,Latvia (+5.8k PPS),value-2010,value,2010
Latvia,2018,6.43,1927526,2022,8.93,2018-2022,3.14,8.93,5.789999999999999,Latvia (+5.8k PPS),value-2010,value,2010
Lithuania,2010,4.55,3097660,2014,4.95,2010-2014,4.55,11.72,7.170000000000001,Lithuania (+7.2k PPS),value-2010,value,2010
Lithuania,2014,4.95,2933118,2018,6.49,2014-2018,4.55,11.72,7.170000000000001,Lithuania (+7.2k PPS),value-2010,value,2010
Lithuania,2018,6.49,2802430,2022,11.72,2018-2022,4.55,11.72,7.170000000000001,Lithuania (+7.2k PPS),value-2010,value,2010
Poland,2010,6.73,38095304,2014,7.69,2010-2014,6.73,11.23,4.5,Poland (+4.5k PPS),value-2010,value,2010
Poland,2014,7.69,38265064,2018,8.36,2014-2018,6.73,11.23,4.5,Poland (+4.5k PPS),value-2010,value,2010
Poland,2018,8.36,38241017,2022,11.23,2018-2022,6.73,11.23,4.5,Poland (+4.5k PPS),value-2010,value,2010
Romania,2010,3.91,20432524,2014,3.82,2010-2014,3.91,9.93,6.02,Romania (+6k PPS),value-2010,value,2010
Romania,2014,3.82,19968125,2018,6.91,2014-2018,3.91,9.93,6.02,Romania (+6k PPS),value-2010,value,2010
Romania,2018,6.91,19597823,2022,9.93,2018-2022,3.91,9.93,6.02,Romania (+6k PPS),value-2010,value,2010
Slovakia,2010,5.87,5391807,2014,6.49,2010-2014,5.87,9.74,3.87,Slovakia (+3.9k PPS),value-2010,value,2010
Slovakia,2014,6.49,5415184,2018,7.08,2014-2018,5.87,9.74,3.87,Slovakia (+3.9k PPS),value-2010,value,2010
Slovakia,2018,7.08,5443188,2022,9.74,2018-2022,5.87,9.74,3.87,Slovakia (+3.9k PPS),value-2010,value,2010
Slovenia,2010,8.56,2044566,2014,8.96,2010-2014,8.56,12.34,3.7799999999999994,Slovenia (+3.8k PPS),value-2010,value,2010
Slovenia,2014,8.96,2058351,2018,9.22,2014-2018,8.56,12.34,3.7799999999999994,Slovenia (+3.8k PPS),value-2010,value,2010
Slovenia,2018,9.22,2069431,2022,12.34,2018-2022,8.56,12.34,3.7799999999999994,Slovenia (+3.8k PPS),value-2010,value,2010
Bulgaria,2006,14.49375866851595,7640243,2010,23.217922606924642,2006-2010,14.49375866851595,38.77668782458166,24.282929156065705,Bulgaria (+24%),% of DE-2006,% of DE,2006
Bulgaria,2010,23.217922606924642,7437542,2014,22.538860103626945,2010-2014,14.49375866851595,38.77668782458166,24.282929156065705,Bulgaria (+24%),% of DE-2006,% of DE,2006
Bulgaria,2014,22.538860103626945,7223406,2018,28.580285182889032,2014-2018,14.49375866851595,38.77668782458166,24.282929156065705,Bulgaria (+24%),% of DE-2006,% of DE,2006
Bulgaria,2018,28.580285182889032,7024687,2022,38.77668782458166,2018-2022,14.49375866851595,38.77668782458166,24.282929156065705,Bulgaria (+24%),% of DE-2006,% of DE,2006
Czechia,2006,40.568654646324546,10304542,2010,43.04141208418194,2006-2010,40.568654646324546,58.91517599538374,18.346521349059195,Czechia (+18%),% of DE-2006,% of DE,2006
Czechia,2010,43.04141208418194,10463981,2014,46.30829015544042,2010-2014,40.568654646324546,58.91517599538374,18.346521349059195,Czechia (+18%),% of DE-2006,% of DE,2006
Czechia,2014,46.30829015544042,10517176,2018,52.076875387476754,2014-2018,40.568654646324546,58.91517599538374,18.346521349059195,Czechia (+18%),% of DE-2006,% of DE,2006
Czechia,2018,52.076875387476754,10548878,2022,58.91517599538374,2018-2022,40.568654646324546,58.91517599538374,18.346521349059195,Czechia (+18%),% of DE-2006,% of DE,2006
Estonia,2006,31.62274618585298,1346833,2010,40.46164290563476,2006-2010,31.62274618585298,60.300057703404505,28.677311517551527,Estonia (+29%),% of DE-2006,% of DE,2006
