variable,init_yr,last_yr,country,unit,val_init,val_2010,val_prewar,val_last
actual_indiv_consump,2004,2024,Finland,current-PPS,86.45987343091375,94.60250748160793,94.68822974773431,90.57924717887144
actual_indiv_consump,2004,2024,France,constant-PPS,95.68225993021122,95.58284434670232,93.07651519883672,93.60977961236527
actual_indiv_consump,2004,2024,France,constant-euro_2006,96.44934785323203,96.30012234665698,92.25270521515334,92.49815528637075
actual_indiv_consump,2004,2024,France,current-PPS,95.68225993021122,95.58284434670232,93.0765151988367,93.60977961236527
actual_indiv_consump,2004,2024,Germany,constant-PPS,103.17544896089042,102.9353708349102,105.56730295279313,105.73190934634064
actual_indiv_consump,2004,2024,Germany,constant-euro_2006,99.11237488024287,97.5244229144098,99.64647994283035,100.20650733501073
actual_indiv_consump,2004,2024,Germany,current-PPS,103.17544896089039,102.93537083491017,105.56730295279316,105.73190934634063
actual_indiv_consump,2004,2024,Hungary,constant-PPS,53.02872237096044,52.44802228254949,60.439295583660204,64.31463275525816
actual_indiv_consump,2004,2024,Hungary,constant-euro_2006,28.267089778523026,24.716598360305518,33.88514952246518,36.71042876411732
actual_indiv_consump,2004,2024,Hungary,current-PPS,53.02872237096044,52.44802228254948,60.439295583660204,64.31463275525815
actual_indiv_consump,2004,2024,Latvia,constant-PPS,39.77154177822032,46.075832659436,63.662724681455416,63.9779069293144
actual_indiv_consump,2004,2024,Latvia,constant-euro_2006,19.138870333479897,21.846421550016732,32.23078224116135,32.40520841797193
actual_indiv_consump,2004,2024,Latvia,current-PPS,39.77154177822032,46.07583265943599,63.66272468145541,63.9779069293144
actual_indiv_consump,2004,2024,Lithuania,constant-PPS,47.84112996510561,55.879201310379834,80.58572744488026,78.12039161895233
actual_indiv_consump,2004,2024,Lithuania,constant-euro_2006,21.447176383818135,25.605494594274457,38.45622746528394,38.95452837328993
actual_indiv_consump,2004,2024,Lithuania,current-PPS,47.84112996510561,55.87920131037981,80.58572744488026,78.12039161895231
actual_indiv_consump,2004,2024,Netherlands,constant-PPS,108.93944052295134,104.40587613255178,101.94094521777353,106.74208682417192
actual_indiv_consump,2004,2024,Netherlands,constant-euro_2006,106.11892437875805,108.45623958788401,106.71508910572412,108.28940044927641
actual_indiv_consump,2004,2024,Netherlands,current-PPS,108.93944052295133,104.40587613255177,101.94094521777353,106.7420868241719
actual_indiv_consump,2004,2024,Poland,constant-PPS,47.26473080889952,59.80054877075736,74.94472652373865,75.08985918545848
actual_indiv_consump,2004,2024,Poland,constant-euro_2006,23.946679713950015,29.093884948497852,38.79944925214054,40.722557465346085
actual_indiv_consump,2004,2024,Poland,current-PPS,47.264730808899515,59.800548770757345,74.94472652373865,75.08985918545848
actual_indiv_consump,2004,2024,Romania,constant-PPS,32.85475190374723,47.056169524530375,70.91544015149465,76.10003666328977
actual_indiv_consump,2004,2024,Romania,constant-euro_2006,14.35563833047423,20.354661779531018,32.38464397514312,36.87932407972164
actual_indiv_consump,2004,2024,Romania,current-PPS,32.85475190374722,47.056169524530375,70.91544015149464,76.10003666328976
actual_indiv_consump,2004,2024,Slovakia,constant-PPS,47.26473080889952,63.2317277985877,65.67736786757742,68.69206849252704
actual_indiv_consump,2004,2024,Slovakia,constant-euro_2006,28.33833999942804,35.821251814297376,41.902594264311865,42.41667686692311
actual_indiv_consump,2004,2024,Slovakia,current-PPS,47.264730808899515,63.23172779858769,65.67736786757742,68.69206849252704
actual_indiv_consump,2004,2024,Slovenia,constant-PPS,67.43870127611272,68.13341212405962,73.73594061206545,76.10003666328977
actual_indiv_consump,2004,2024,Slovenia,constant-euro_2006,46.57428447981336,50.01564002088716,54.793020527790326,57.7124706811733
actual_indiv_consump,2004,2024,Slovenia,current-PPS,67.43870127611272,68.1334121240596,73.73594061206545,76.10003666328976
actual_indiv_consump,2004,2024,Sweden,constant-PPS,99.71705402365387,101.46486553726864,96.70287293385633,91.25269883075896
actual_indiv_consump,2004,2024,Sweden,constant-euro_2006,113.38607760978113,116.69893010032426,127.12383730012284,123.66785372520033
actual_indiv_consump,2004,2024,Sweden,current-PPS,99.71705402365384,101.46486553726861,96.70287293385633,91.25269883075894
