country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,x_start,x_end,type_scale,sel_var
Portugal,Southern Europe,1990,2024,27.1905717704405,41.8838514202164,10701636,9989475,49203.84660871572,35982.26485886288,0.001,14.693279649775903,0.43203005788091836,13.221581749852842,0.31294562928769326,black,$15k,0.43,$15k,34.53721159532845,36 → 49,3.58 → 3.9,13,+13k (36 → 49),"Southern Europe
+13k (36 → 49)",27.1905717704405,41.8838514202164,linear,value
Thailand,Asia,1990,2024,8.701954360532572,21.7371779720129,71668011,54738282,24520.678714915768,3112.786826501071,0.001,13.03522361148033,0.9154764255975617,21.4078918884147,2.0639983801008817,black,$13k,0.92,$13k,15.219566166272736,3 → 25,1.14 → 3.2,21,+21k (3 → 25),"Asia
+21k (3 → 25)",8.701954360532572,21.7371779720129,linear,value
Georgia,ex-USSR/Balkans,1990,2024,12.917094426936101,25.0006326416981,3673850,5448811,33905.67801333279,25293.575516631612,0.001,12.083538214762,0.6603495467089634,8.61210249670118,0.29303206204138216,black,$12k,0.66,$12k,18.9588635343171,25 → 34,3.23 → 3.52,9,+9k (25 → 34),"ex-USSR/Balkans
+9k (25 → 34)",12.917094426936101,25.0006326416981,linear,value
Russia,ex-USSR/Balkans,1990,2024,29.643595703125,41.7047109375,143533851,148979487,33905.67801333279,25293.575516631612,0.001,12.061115234375002,0.34136798895498466,8.61210249670118,0.29303206204138216,black,$12k,0.34,$12k,35.6741533203125,25 → 34,3.23 → 3.52,9,+9k (25 → 34),"ex-USSR/Balkans
+9k (25 → 34)",29.643595703125,41.7047109375,linear,value
"North
Macedonia",ex-USSR/Balkans,1990,2024,12.9045181514137,24.465391930675104,1792179,2063645,33905.67801333279,25293.575516631612,0.001,11.560873779261403,0.6396820503269275,8.61210249670118,0.29303206204138216,black,$12k,0.64,$12k,18.684955041044404,25 → 34,3.23 → 3.52,9,+9k (25 → 34),"ex-USSR/Balkans
+9k (25 → 34)",12.9045181514137,24.465391930675104,linear,value
Azerbaijan,ex-USSR/Balkans,1990,2024,10.776067700076501,22.0721058327346,10202850,7231035,33905.67801333279,25293.575516631612,0.001,11.296038132658099,0.7169869102149677,8.61210249670118,0.29303206204138216,black,$11k,0.72,$11k,16.42408676640555,25 → 34,3.23 → 3.52,9,+9k (25 → 34),"ex-USSR/Balkans
+9k (25 → 34)",10.776067700076501,22.0721058327346,linear,value
Greece,Southern Europe,1990,2024,26.9163125225704,37.7526321172664,10388805,10258439,49203.84660871572,35982.26485886288,0.001,10.836319594696,0.33832268193316767,13.221581749852842,0.31294562928769326,black,$11k,0.34,$11k,32.334472319918405,36 → 49,3.58 → 3.9,13,+13k (36 → 49),"Southern Europe
+13k (36 → 49)",26.9163125225704,37.7526321172664,linear,value
Italy,Southern Europe,1990,2024,42.65674451016591,53.1151350996573,58986023,57031408,49203.84660871572,35982.26485886288,0.001,10.458390589491394,0.2192765200954465,13.221581749852842,0.31294562928769326,black,$10k,0.22,$10k,47.8859398049116,36 → 49,3.58 → 3.9,13,+13k (36 → 49),"Southern Europe
+13k (36 → 49)",42.65674451016591,53.1151350996573,linear,value
Argentina,Latin America,1990,2024,17.0072844317191,26.5470503429365,45696159,32755859,21301.134080557873,13523.408872798123,0.001,9.539765911217401,0.44527689506009877,7.77772520775975,0.4543381401207085,black,$10k,0.45,$10k,21.7771673873278,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",17.0072844317191,26.5470503429365,linear,value
Egypt,Africa,1990,2024,8.00662143741369,16.798151577863997,116538258,58396583,14335.010170851734,8735.575992476372,0.001,8.791530140450307,0.7409999762102539,5.599434178375363,0.4953009266819871,black,$9k,0.74,$9k,12.402386507638845,9 → 14,2.17 → 2.66,6,+6k (9 → 14),"Africa
+6k (9 → 14)",8.00662143741369,16.798151577863997,linear,value
Colombia,Latin America,1990,2024,9.99881069684463,18.5036706011465,52886363,32440020,21301.134080557873,13523.408872798123,0.001,8.504859904301869,0.615502967670491,7.77772520775975,0.4543381401207085,black,$9k,0.62,$9k,14.251240648995566,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",9.99881069684463,18.5036706011465,linear,value
Iran,Asia,1990,2024,9.04658484470857,16.224035344583502,91567738,58380046,24520.678714915768,3112.786826501071,0.001,7.177450499874931,0.5841064846772633,21.4078918884147,2.0639983801008817,black,$7k,0.58,$7k,12.635310094646037,3 → 25,1.14 → 3.2,21,+21k (3 → 25),"Asia
+21k (3 → 25)",9.04658484470857,16.224035344583502,linear,value
Brazil,Latin America,1990,2024,12.6332884560597,19.6479096329925,211998573,149143183,21301.134080557873,13523.408872798123,0.001,7.014621176932801,0.44163568153296245,7.77772520775975,0.4543381401207085,black,$7k,0.44,$7k,16.140599044526102,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",12.6332884560597,19.6479096329925,linear,value
Paraguay,Latin America,1990,2024,9.962480278429862,16.2962836189267,6929153,4035697,21301.134080557873,13523.408872798123,0.001,6.333803340496839,0.4921110184442437,7.77772520775975,0.4543381401207085,black,$6k,0.49,$6k,13.129381948678281,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",9.962480278429862,16.2962836189267,linear,value
Tunisia,Africa,1990,2024,6.74257685903794,12.713549847382101,12277109,8324459,14335.010170851734,8735.575992476372,0.001,5.970972988344161,0.6342261666730006,5.599434178375363,0.4953009266819871,black,$6k,0.63,$6k,9.72806335321002,9 → 14,2.17 → 2.66,6,+6k (9 → 14),"Africa
+6k (9 → 14)",6.74257685903794,12.713549847382101,linear,value
Mexico,Latin America,1990,2024,17.1695925839593,22.033274449661903,130861007,82820134,21301.134080557873,13523.408872798123,0.001,4.863681865702603,0.24941383944258735,7.77772520775975,0.4543381401207085,black,$5k,0.25,$5k,19.6014335168106,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",17.1695925839593,22.033274449661903,linear,value
Ecuador,Latin America,1990,2024,9.10481599790272,13.9355391125402,18135478,10473624,21301.134080557873,13523.408872798123,0.001,4.830723114637479,0.42563884377695343,7.77772520775975,0.4543381401207085,black,$5k,0.43,$5k,11.52017755522146,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",9.10481599790272,13.9355391125402,linear,value
Morocco,Africa,1990,2024,4.4186601562500005,9.065914062500001,38081173,24375508,14335.010170851734,8735.575992476372,0.001,4.6472539062500005,0.7186851553103446,5.599434178375363,0.4953009266819871,black,$5k,0.72,$5k,6.742287109375001,9 → 14,2.17 → 2.66,6,+6k (9 → 14),"Africa
+6k (9 → 14)",4.4186601562500005,9.065914062500001,linear,value
