megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,MKKP,TISZA,Mi_Hazank,DK,FIDESZ_KDNP,reszvetel_pct
Baranya,Horváthertelend,40,0,0,40,30,0,30,0,30,0,0,30,0,7,1,0,22,75.0
Baranya,Hosszúhetény,2626,0,0,2626,2135,0,2135,0,2134,0,14,2120,20,1211,161,20,673,81.3024
Baranya,Husztót,39,0,0,39,21,0,21,0,21,0,0,21,0,8,1,0,12,53.8462
Baranya,Hásságy,241,0,0,241,206,0,206,0,206,0,2,204,1,73,12,0,58,85.4772
Baranya,Ibafa,140,0,0,140,99,0,99,0,99,0,1,98,0,44,5,1,48,70.7143
Baranya,Illocska,187,0,0,187,142,0,142,0,143,0,14,129,0,53,4,1,68,75.9358
Baranya,Ipacsfa,160,0,0,160,136,0,136,0,136,0,0,136,0,52,9,1,74,85.0
Baranya,Ivánbattyán,79,0,0,79,62,0,62,0,61,0,2,59,1,21,0,1,27,78.481
Baranya,Ivándárda,157,0,0,157,127,0,127,0,127,0,1,126,0,74,1,2,42,80.8917
Baranya,Kacsóta,205,0,0,205,162,0,162,0,162,0,5,157,2,77,8,1,44,79.0244
Baranya,Katádfa,98,0,0,98,82,0,82,0,82,0,1,81,2,25,5,0,48,83.6735
Baranya,Kemse,45,0,0,45,41,0,41,0,41,0,0,41,0,16,1,0,24,91.1111
Baranya,Keszü,1100,0,0,1100,943,0,943,0,943,0,0,943,3,577,55,15,272,85.7273
Baranya,Királyegyháza,691,0,0,691,487,0,487,0,487,0,2,485,2,229,28,5,213,70.4776
Baranya,Kisasszonyfa,147,0,0,147,113,0,113,0,113,0,8,105,0,42,4,0,49,76.8707
Baranya,Kisbeszterce,59,0,0,59,46,0,46,0,46,0,0,46,0,23,2,0,21,77.9661
Baranya,Kisbudmér,62,0,0,62,46,0,46,0,46,0,0,46,0,22,1,0,19,74.1935
Baranya,Kisdobsza,185,0,0,185,133,0,133,0,130,0,1,129,1,49,4,0,75,71.8919
Baranya,Kisdér,106,0,0,106,79,0,79,0,79,0,1,78,1,36,6,0,35,74.5283
Baranya,Kishajmás,141,0,0,141,91,0,91,0,91,0,3,88,0,42,4,2,40,64.539
Baranya,Kisharsány,372,0,0,372,281,0,281,0,281,0,0,281,0,145,11,2,123,75.5376
Baranya,Kisherend,171,0,0,171,130,0,130,0,130,0,0,130,1,51,11,0,67,76.0234
Baranya,Kisjakabfalva,78,0,0,78,46,0,46,0,46,0,0,46,0,19,0,0,26,58.9744
Baranya,Kiskassa,187,0,0,187,148,0,148,0,148,0,3,145,0,62,9,2,52,79.1444
Baranya,Kislippó,222,0,0,222,155,0,155,0,155,0,4,151,0,88,4,5,54,69.8198
Baranya,Kisnyárád,120,0,0,120,96,0,96,0,94,0,2,92,2,32,7,0,22,80.0
Baranya,Kisszentmárton,166,0,0,166,117,0,117,0,115,0,2,113,1,33,4,0,66,70.4819
Baranya,Kistamási,94,0,0,94,59,0,59,0,59,0,4,55,0,13,2,0,34,62.766
Baranya,Kistapolca,155,0,0,155,125,0,125,0,125,0,0,125,2,61,3,0,59,80.6452
Baranya,Kistótfalu,244,0,0,244,195,0,195,0,195,0,1,194,0,99,13,2,80,79.918
Baranya,Kisvaszar,225,0,0,225,142,0,142,0,142,0,9,133,2,40,4,0,71,63.1111
Baranya,Komló,18614,0,0,18614,13351,0,13351,1,13343,0,144,13199,77,7877,657,309,4096,71.7256
Baranya,Kovácshida,180,0,0,180,133,0,133,0,133,0,0,133,1,60,6,2,64,73.8889
Baranya,Kovácsszénája,46,0,0,46,40,0,40,0,40,0,0,40,0,22,2,0,13,86.9565
Baranya,Kozármisleny,5063,0,0,5063,4367,0,4367,1,4367,0,76,4291,23,2661,220,49,1284,86.2532
Baranya,Kákics,155,0,0,155,110,0,110,0,110,0,2,108,1,41,2,1,63,70.9677
Baranya,Kárász,247,0,0,247,187,0,187,0,187,0,2,185,0,96,13,3,69,75.7085
Baranya,Kásád,206,0,0,206,154,0,154,0,154,0,6,148,2,50,10,2,72,74.7573
Baranya,Kátoly,240,0,0,240,185,0,185,0,185,0,5,180,0,71,9,1,67,77.0833
Baranya,Kékesd,140,0,0,140,104,0,104,0,104,0,1,103,3,42,5,1,52,74.2857
Baranya,Kémes,349,0,0,349,277,0,277,0,277,0,2,275,0,132,16,0,126,79.3696
Baranya,Kétújfalu,510,0,0,510,382,0,382,0,382,0,8,374,2,179,12,3,159,74.902
Baranya,Kórós,147,0,0,147,90,0,90,0,90,0,2,88,1,26,2,0,50,61.2245
Baranya,Köblény,149,0,0,149,109,0,109,0,109,0,0,109,1,44,9,2,52,73.1544
Baranya,Kökény,524,0,0,524,427,0,427,0,427,0,0,427,3,278,25,7,102,81.4885
Baranya,Kölked,796,0,0,796,508,0,508,0,508,0,7,501,2,167,26,3,289,63.8191
Baranya,Kővágószőlős,1113,0,0,1113,835,0,835,0,834,0,22,812,4,434,35,5,254,75.0225
Baranya,Kővágótöttös,262,0,0,262,197,0,197,0,197,0,2,195,0,90,10,4,89,75.1908
Baranya,Lapáncsa,137,0,0,137,106,0,106,0,106,0,0,106,0,40,9,0,56,77.3723
Baranya,Liget,274,0,0,274,219,0,219,0,219,0,11,208,4,109,8,1,67,79.927
Baranya,Lippó,374,0,0,374,295,0,295,0,290,0,7,283,2,118,7,1,86,78.877
Baranya,Liptód,128,0,0,128,87,0,87,0,87,0,1,86,0,18,4,0,31,67.9688
Baranya,Lothárd,211,0,0,211,165,0,165,0,165,0,0,165,0,87,7,3,67,78.1991
Baranya,Lovászhetény,226,0,0,226,154,0,154,0,154,0,1,153,0,69,13,0,71,68.1416
Baranya,Lánycsók,1896,0,0,1896,1432,0,1432,0,1431,0,15,1416,5,560,122,12,598,75.5274
Baranya,Lúzsok,155,0,0,155,112,0,112,0,112,0,4,108,0,33,1,0,66,72.2581
Baranya,Magyarbóly,719,0,0,719,523,0,523,0,523,0,3,520,2,203,33,7,261,72.7399
Baranya,Magyaregregy,546,0,0,546,429,0,429,0,429,0,7,422,2,208,29,5,148,78.5714
Baranya,Magyarhertelend,477,0,0,477,379,0,379,0,379,0,6,373,1,223,15,4,112,79.4549
Baranya,Magyarlukafa,68,0,0,68,44,0,44,0,44,0,3,41,0,16,1,0,24,64.7059
Baranya,Magyarmecske,243,0,0,243,182,0,182,0,182,0,6,176,0,55,0,0,101,74.8971
Baranya,Magyarsarlós,241,0,0,241,201,0,201,0,201,0,1,200,1,98,23,1,74,83.4025
Baranya,Magyarszék,785,0,0,785,660,0,660,0,660,0,2,658,2,294,39,7,285,84.0764
Baranya,Magyartelek,138,0,0,138,113,0,113,0,115,0,13,102,0,26,7,0,49,81.8841
