megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,reszvetel_pct,part,szavazat,szavazat_pct
Baranya,Görcsönydoboka,275,0,0,275,206,0,206,0,206,0,2,204,74.9091,MKKP,1,0.4902
Baranya,Görcsönydoboka,275,0,0,275,206,0,206,0,206,0,2,204,74.9091,Mi_Hazank,16,7.8431
Baranya,Görcsönydoboka,275,0,0,275,206,0,206,0,206,0,2,204,74.9091,TISZA,82,40.1961
Baranya,Harkány,4154,0,0,4154,3274,0,3274,1,3260,0,17,3243,78.8156,DK,32,0.9867
Baranya,Harkány,4154,0,0,4154,3274,0,3274,1,3260,0,17,3243,78.8156,FIDESZ_KDNP,1239,38.2054
Baranya,Harkány,4154,0,0,4154,3274,0,3274,1,3260,0,17,3243,78.8156,MKKP,25,0.7709
Baranya,Harkány,4154,0,0,4154,3274,0,3274,1,3260,0,17,3243,78.8156,Mi_Hazank,224,6.9072
Baranya,Harkány,4154,0,0,4154,3274,0,3274,1,3260,0,17,3243,78.8156,TISZA,1659,51.1563
Baranya,Hegyhátmaróc,100,0,0,100,79,0,79,0,79,0,1,78,79.0,DK,2,2.5641
Baranya,Hegyhátmaróc,100,0,0,100,79,0,79,0,79,0,1,78,79.0,FIDESZ_KDNP,28,35.8974
Baranya,Hegyhátmaróc,100,0,0,100,79,0,79,0,79,0,1,78,79.0,MKKP,1,1.2821
Baranya,Hegyhátmaróc,100,0,0,100,79,0,79,0,79,0,1,78,79.0,Mi_Hazank,11,14.1026
Baranya,Hegyhátmaróc,100,0,0,100,79,0,79,0,79,0,1,78,79.0,TISZA,32,41.0256
Baranya,Hegyszentmárton,331,0,0,331,239,0,239,0,239,0,3,236,72.2054,DK,1,0.4237
Baranya,Hegyszentmárton,331,0,0,331,239,0,239,0,239,0,3,236,72.2054,FIDESZ_KDNP,112,47.4576
Baranya,Hegyszentmárton,331,0,0,331,239,0,239,0,239,0,3,236,72.2054,MKKP,1,0.4237
Baranya,Hegyszentmárton,331,0,0,331,239,0,239,0,239,0,3,236,72.2054,Mi_Hazank,6,2.5424
Baranya,Hegyszentmárton,331,0,0,331,239,0,239,0,239,0,3,236,72.2054,TISZA,110,46.6102
Baranya,Helesfa,280,0,0,280,182,0,182,0,182,0,4,178,65.0,DK,3,1.6854
Baranya,Helesfa,280,0,0,280,182,0,182,0,182,0,4,178,65.0,FIDESZ_KDNP,71,39.8876
Baranya,Helesfa,280,0,0,280,182,0,182,0,182,0,4,178,65.0,MKKP,1,0.5618
Baranya,Helesfa,280,0,0,280,182,0,182,0,182,0,4,178,65.0,Mi_Hazank,8,4.4944
Baranya,Helesfa,280,0,0,280,182,0,182,0,182,0,4,178,65.0,TISZA,92,51.6854
Baranya,Hetvehely,371,0,0,371,284,0,284,0,284,0,4,280,76.5499,DK,3,1.0714
Baranya,Hetvehely,371,0,0,371,284,0,284,0,284,0,4,280,76.5499,FIDESZ_KDNP,112,40.0
Baranya,Hetvehely,371,0,0,371,284,0,284,0,284,0,4,280,76.5499,MKKP,2,0.7143
Baranya,Hetvehely,371,0,0,371,284,0,284,0,284,0,4,280,76.5499,Mi_Hazank,13,4.6429
Baranya,Hetvehely,371,0,0,371,284,0,284,0,284,0,4,280,76.5499,TISZA,125,44.6429
Baranya,Hidas,1553,0,0,1553,1172,0,1172,1,1171,0,7,1164,75.4668,DK,7,0.6014
Baranya,Hidas,1553,0,0,1553,1172,0,1172,1,1171,0,7,1164,75.4668,FIDESZ_KDNP,498,42.7835
Baranya,Hidas,1553,0,0,1553,1172,0,1172,1,1171,0,7,1164,75.4668,MKKP,4,0.3436
Baranya,Hidas,1553,0,0,1553,1172,0,1172,1,1171,0,7,1164,75.4668,Mi_Hazank,98,8.4192
Baranya,Hidas,1553,0,0,1553,1172,0,1172,1,1171,0,7,1164,75.4668,TISZA,522,44.8454
