country,region,start_yr,end_yr,start,end,scale_for_log,scaling,change,label_color,label_txt_linear,label_txt_log,label_final,sel_var,scale_type
North Macedonia,ex-USSR/Balkans,1990,2024,30.454197018248014,38.939155443796814,100,1,8.4849584255488,black,+8%,8.48,+8%,% of DE,linear
Egypt,Africa,1990,2024,18.895337574368266,26.73596390004194,100,1,7.840626325673675,black,+8%,7.84,+8%,% of DE,linear
Colombia,Latin America,1990,2024,23.59683231384453,29.450470601922408,100,1,5.853638288077878,black,+6%,5.85,+6%,% of DE,linear
Iran,Asia,1990,2024,21.349613675646573,25.822199619712283,100,1,4.47258594406571,black,+4%,4.47,+4%,% of DE,linear
Tunisia,Africa,1990,2024,15.912237998078693,20.23490550049039,100,1,4.322667502411699,black,+4%,4.32,+4%,% of DE,linear
Morocco,Africa,1990,2024,10.427878466766165,14.429322772351341,100,1,4.001444305585176,black,+4%,4,+4%,% of DE,linear
Portugal,Southern Europe,1990,2024,64.16876787027435,66.66240237058375,100,1,2.4936345003093976,black,+2%,2.49,+2%,% of DE,linear
Paraguay,Latin America,1990,2024,23.51109383781801,25.93719008433135,100,1,2.426096246513339,black,+2%,2.43,+2%,% of DE,linear
Argentina,Latin America,1990,2024,40.13657734072113,42.252326175973074,100,1,2.1157488352519422,black,+2%,2.12,+2%,% of DE,linear
Spain,Southern Europe,1990,2024,74.98366818140033,76.9906137647126,100,1,2.006945583312273,black,+2%,2.01,+2%,% of DE,linear
Brazil,Latin America,1990,2024,29.814104727889596,31.271643205744315,100,1,1.457538477854719,black,+1%,1.46,+1%,% of DE,linear
Ecuador,Latin America,1990,2024,21.487037095193642,22.179825495292587,100,1,0.6927884000989444,black,+1%,0.69,+1%,% of DE,linear
Algeria,Africa,1990,2024,27.6789445500989,24.577709030421687,100,1,-3.101235519677214,red,-3%,-3.1,-3%,% of DE,linear
Greece,Southern Europe,1990,2024,63.521525945336805,60.08714737095763,100,1,-3.434378574379174,red,-3%,-3.43,-3%,% of DE,linear
Russia,ex-USSR/Balkans,1990,2024,69.9578158037121,66.37728210263396,100,1,-3.5805337010781386,red,-4%,-3.58,-4%,% of DE,linear
South Africa,Africa,1990,2024,25.545157299509064,21.64385328423355,100,1,-3.901304015275514,red,-4%,-3.9,-4%,% of DE,linear
Jamaica,Latin America,1990,2024,20.631194183621158,16.329824004268623,100,1,-4.301370179352535,red,-4%,-4.3,-4%,% of DE,linear
Mexico,Latin America,1990,2024,40.51961872111156,35.06819351851466,100,1,-5.4514252025969014,red,-5%,-5.45,-5%,% of DE,linear
Moldova,ex-USSR/Balkans,1990,2024,37.53025655025335,26.207197436694194,100,1,-11.323059113559154,red,-11%,-11.32,-11%,% of DE,linear
Italy,Southern Europe,1990,2024,100.66837724796,84.53813075729263,100,1,-16.13024649066736,red,-16%,-16.13,-16%,% of DE,linear
Ukraine,ex-USSR/Balkans,1990,2024,53.844461644180875,25.974689979499924,100,1,-27.86977166468095,red,-28%,-27.87,-28%,% of DE,linear
South Korea,Asia,1990,2023,33.45961033651213,88.23753508228859,100,1,54.77792474577646,black,+55%,54.78,+55%,% of W_EUR3,linear
Poland,CEE,1990,2024,30.99721954573948,78.59595802135784,100,1,47.59873847561836,black,+48%,47.6,+48%,% of W_EUR3,linear
China,Asia,1990,2024,4.029970886019648,41.544254855558115,100,1,37.51428396953847,black,+38%,37.51,+38%,% of W_EUR3,linear
Panama,Latin America,1990,2024,27.405800728233924,63.46202678065032,100,1,36.05622605241639,black,+36%,36.06,+36%,% of W_EUR3,linear
Lithuania,CEE,1990,2024,49.76934300310602,82.17866970589526,100,1,32.40932670278924,black,+32%,32.41,+32%,% of W_EUR3,linear
Romania,CEE,1990,2024,39.4456982506093,70.75276463673515,100,1,31.307066386125854,black,+31%,31.31,+31%,% of W_EUR3,linear
Malaysia,Asia,1990,2024,29.044359720626108,59.36073715731421,100,1,30.316377436688104,black,+30%,30.32,+30%,% of W_EUR3,linear
Slovakia,CEE,1990,2024,42.35881425541935,70.29250680736837,100,1,27.933692551949022,black,+28%,27.93,+28%,% of W_EUR3,linear
Chile,Latin America,1990,2024,26.479182468902756,52.58497850339169,100,1,26.105796034488932,black,+26%,26.11,+26%,% of W_EUR3,linear
Estonia,CEE,1990,2024,46.80487566397106,72.38237569175028,100,1,25.577500027779223,black,+26%,25.58,+26%,% of W_EUR3,linear
Latvia,CEE,1990,2024,42.32930881417249,67.83505782209612,100,1,25.505749007923626,black,+26%,25.51,+26%,% of W_EUR3,linear
Dominican Republic,Latin America,1990,2024,17.71554011756569,42.21300223828016,100,1,24.49746212071447,black,+24%,24.5,+24%,% of W_EUR3,linear
Bulgaria,CEE,1990,2024,36.155449608190814,59.38382213018031,100,1,23.2283725219895,black,+23%,23.23,+23%,% of W_EUR3,linear
Slovenia,CEE,1990,2024,61.28966905768794,84.49038540908609,100,1,23.20071635139815,black,+23%,23.2,+23%,% of W_EUR3,linear
Kazakhstan,ex-USSR/Balkans,1990,2024,40.70686559539662,62.55508682646872,100,1,21.848221231072095,black,+22%,21.85,+22%,% of W_EUR3,linear
Uruguay,Latin America,1990,2024,33.993553836476,55.81850901919769,100,1,21.824955182721688,black,+22%,21.82,+22%,% of W_EUR3,linear
Israel,Asia,1990,2024,61.25065109279671,82.47455754039723,100,1,21.22390644760052,black,+21%,21.22,+21%,% of W_EUR3,linear
Belarus,ex-USSR/Balkans,1990,2024,29.861361765899204,50.58969005827731,100,1,20.72832829237811,black,+21%,20.73,+21%,% of W_EUR3,linear
Costa Rica,Latin America,1990,2024,26.481045112910092,46.993591240632384,100,1,20.512546127722292,black,+21%,20.51,+21%,% of W_EUR3,linear
Hungary,CEE,1990,2024,51.48771025655848,70.91200222396773,100,1,19.424291967409253,black,+19%,19.42,+19%,% of W_EUR3,linear
Croatia,CEE,1990,2024,56.571193300612855,74.27729239627114,100,1,17.70609909565828,black,+18%,17.71,+18%,% of W_EUR3,linear
Thailand,Asia,1990,2024,21.03787816583035,37.870890840683366,100,1,16.833012674853016,black,+17%,16.83,+17%,% of W_EUR3,linear
Czechia,CEE,1990,2024,67.49499611336321,83.5599016087869,100,1,16.064905495423687,black,+16%,16.06,+16%,% of W_EUR3,linear
Azerbaijan,ex-USSR/Balkans,1990,2024,26.052262513483743,38.45440800511133,100,1,12.40214549162759,black,+12%,12.4,+12%,% of W_EUR3,linear
Georgia,ex-USSR/Balkans,1990,2024,31.228416922400008,43.55653852311441,100,1,12.328121600714404,black,+12%,12.33,+12%,% of W_EUR3,linear
North Macedonia,ex-USSR/Balkans,1990,2024,31.198012470565587,42.62403281484171,100,1,11.426020344276125,black,+11%,11.43,+11%,% of W_EUR3,linear
