country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of S_EUR4-2004,% of EU8-2004,var_name
Bulgaria,2022,176.84058722203469,134.0698323288174,35.29849,42.658223763677356,57.28028956006964,43.356780032562654,per_hr_work
Bulgaria,2023,186.63238885231414,141.4933838075304,37.252995,45.1545023449666,60.405969695476735,45.91150983666769,per_hr_work
Croatia,2004,100,NA,27.773874,43.46800776737101,59.827054267350604,43.94396531271662,per_hr_work
Croatia,2005,104.55321069001755,NA,29.038477,43.03181401871908,60.82362992015844,43.547314564323386,per_hr_work
Croatia,2006,104.7049108093455,NA,29.08061,42.818029840654894,59.377893263887,43.32137937501313,per_hr_work
Croatia,2007,111.2466701620379,NA,30.89751,43.73237648429598,60.35220442210959,44.48727360063811,per_hr_work
Croatia,2008,115.27819273609437,NA,32.01722,44.67587434244924,61.28879171382149,45.36628244652186,per_hr_work
Croatia,2009,110.6641370951708,NA,30.735718,44.61754936268146,57.86576394304391,44.70075775852564,per_hr_work
Croatia,2010,111.87973993113096,100,31.073338,43.76604148186292,57.71847954704802,43.965912207028836,per_hr_work
Croatia,2011,121.91543030691363,108.97006945311124,33.860638,45.73555089756286,61.64878697689938,46.302968093885575,per_hr_work
Croatia,2012,129.094846473344,115.38715280604872,35.85464,48.60978417472963,64.16186284254833,48.78541406634431,per_hr_work
Croatia,2013,126.52680717137264,113.09179593129004,35.141396,47.55754671000177,63.12212760826982,47.767581621203,per_hr_work
Croatia,2014,123.99887030523722,110.83228329058178,34.43929,45.51183768272838,62.11060811642048,46.37257858090954,per_hr_work
Croatia,2015,133.8296918895794,119.61923755986564,37.16969,50.161711803406995,66.1916127596296,50.36072454541468,per_hr_work
Croatia,2016,138.22969024774866,123.55203036120548,38.39174,50.49611931433087,66.85525444443462,51.4016031861894,per_hr_work
Croatia,2017,148.09689134472202,132.3715012529391,41.132244,52.601979353218944,70.38554174891976,53.69004713564631,per_hr_work
Croatia,2018,141.3372149668426,126.32958840791422,39.25482,49.94272876718185,68.4861636762978,51.248986954739266,per_hr_work
Croatia,2019,139.6860481184584,124.8537476083194,38.796227,47.8265048091577,64.43433906139884,48.21052708351698,per_hr_work
Croatia,2020,128.46306568539916,114.82245647377826,35.67917,43.489713858329445,58.666366505188556,43.402057293275156,per_hr_work
