country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of AT-2004,% of W_EUR3-2004,% of EU8-2004,% of S_EUR4-2004,var_name
Croatia,2021,186.04651162790697,150.9433962264151,16,61.06870229007634,63.745019920318725,67.64126274157626,64.45408662359462,82.33021593814867,actual_indiv_consump
Croatia,2022,204.65116279069767,166.03773584905662,17.6,61.32404181184669,63.537906137184116,67.70324499267367,65.13948052409684,80.55823202346744,actual_indiv_consump
Croatia,2023,220.93023255813952,179.24528301886792,19,63.333333333333336,66.2020905923345,68.98630431043965,66.76612534664916,80.69141881326485,actual_indiv_consump
Croatia,2024,238.37209302325581,193.39622641509433,20.5,66.12903225806451,69.72789115646259,72.06399557128468,69.55901250763299,83.56059687462182,actual_indiv_consump
Czechia,2004,100,NA,10.7,59.77653631284916,60.451977401129945,62.88843586131045,61.6747097140518,70.29510626294693,actual_indiv_consump
Czechia,2005,103.73831775700934,NA,11.1,60.32608695652174,59.67741935483871,62.947769161182855,61.52830701313596,69.86835803824712,actual_indiv_consump
Czechia,2006,106.54205607476635,NA,11.4,60,59.067357512953365,62.332457954199256,60.890758915018154,68.28064445545496,actual_indiv_consump
Czechia,2007,113.08411214953271,NA,12.1,61.421319796954315,61.421319796954315,63.73157931913835,62.10876728511467,70.09512328990691,actual_indiv_consump
Czechia,2008,118.69158878504673,NA,12.7,62.87128712871287,62.87128712871287,65.18981857615756,63.52584374818428,71.47080687545514,actual_indiv_consump
Czechia,2009,120.5607476635514,NA,12.9,63.54679802955665,63.86138613861386,66.91096657787806,64.98406248687522,75.20882652718714,actual_indiv_consump
Czechia,2010,125.23364485981308,100,13.4,63.80952380952381,64.42307692307692,67.08246201268561,65.68256996132365,76.88612932020939,actual_indiv_consump
Czechia,2011,127.10280373831776,101.49253731343283,13.6,62.10045662100457,63.84976525821596,66.39704805178322,64.6996664669794,78.55046242296095,actual_indiv_consump
Czechia,2012,128.0373831775701,102.23880597014926,13.7,61.43497757847533,62.84403669724771,66.65969992171387,64.34537667157687,80.79735691625116,actual_indiv_consump
Czechia,2013,133.6448598130841,106.71641791044776,14.3,63.55555555555556,64.41441441441441,69.083224022107,66.18757153966219,85.13052196222434,actual_indiv_consump
Czechia,2014,138.3177570093458,110.44776119402985,14.8,64.34782608695652,66.66666666666667,70.90927229188051,67.61537347687795,87.37839889806425,actual_indiv_consump
Czechia,2015,142.05607476635515,113.43283582089552,15.2,65.23605150214593,67.55555555555556,71.66743341683096,68.40268605791434,87.24183516453193,actual_indiv_consump
Czechia,2016,147.66355140186917,117.91044776119404,15.8,66.10878661087867,69.60352422907489,72.83048168592906,70.03626282997591,88.57968737970413,actual_indiv_consump
Czechia,2017,158.8785046728972,126.86567164179104,17,69.10569105691057,73.5930735930736,76.31590330807929,73.43306466905656,91.96442390409663,actual_indiv_consump
Czechia,2018,165.42056074766356,132.08955223880596,17.7,69.68503937007874,75,77.40154792950042,74.44464966831836,93.47616776052023,actual_indiv_consump
Czechia,2019,172.89719626168224,138.0597014925373,18.5,71.42857142857143,77.08333333333333,78.94530383704544,76.20028633673614,95.38267232808538,actual_indiv_consump
Czechia,2020,167.28971962616822,133.5820895522388,17.9,72.1774193548387,78.8546255506608,80.31067983828345,76.55968565211494,101.40327621376429,actual_indiv_consump
Czechia,2021,173.83177570093457,138.80597014925374,18.6,70.99236641221374,74.10358565737052,78.6329679370824,74.92787569992875,95.70887602809783,actual_indiv_consump
Czechia,2022,181.30841121495328,144.77611940298507,19.4,67.59581881533101,70.03610108303249,74.62744050328803,71.80147285042493,88.79714211677661,actual_indiv_consump
Czechia,2023,189.7196261682243,151.49253731343285,20.3,67.66666666666667,70.73170731707317,73.70641986852236,71.33433392299884,86.21241062680402,actual_indiv_consump
Czechia,2024,200.93457943925233,160.44776119402985,21.5,69.35483870967742,73.12925170068027,75.57931242842052,72.95213506898094,87.63672355143265,actual_indiv_consump
Estonia,2004,100,NA,8,44.6927374301676,45.19774011299435,47.01939129817604,46.11193249648733,52.557088794726674,actual_indiv_consump
Estonia,2005,111.25,NA,8.9,48.369565217391305,47.8494623655914,50.47163473284031,49.333507424946845,56.020575363999946,actual_indiv_consump
Estonia,2006,123.75,NA,9.9,52.10526315789474,51.295336787564764,54.13081874969936,52.87881695251576,59.296349132368775,actual_indiv_consump
Estonia,2007,137.5,NA,11,55.83756345177665,55.83756345177665,57.937799381034864,56.462515713740615,63.722839354460824,actual_indiv_consump
Estonia,2008,140,NA,11.2,55.445544554455445,55.445544554455445,57.49023370495786,56.02279133698141,63.02937299252737,actual_indiv_consump
Estonia,2009,125,NA,10,49.26108374384236,49.504950495049506,51.868966339440355,50.37524223788776,58.30141591254817,actual_indiv_consump
Estonia,2010,130,100,10.4,49.523809523809526,50,52.06400036805451,50.9775169849079,59.67281678583416,actual_indiv_consump
Estonia,2011,138.75,106.73076923076923,11.1,50.68493150684932,52.11267605633803,54.191708336381886,52.80634542525524,64.11103918344607,actual_indiv_consump
Estonia,2012,148.75,114.42307692307692,11.9,53.36322869955157,54.58715596330275,57.90149117287555,55.89123959063977,70.18164578856853,actual_indiv_consump
Estonia,2013,156.25,120.1923076923077,12.5,55.55555555555556,56.306306306306304,60.38743358575787,57.85626882837603,74.41479192502128,actual_indiv_consump
Estonia,2014,162.5,125,13,56.52173913043478,58.55855855855856,62.28517160773288,59.39188210806847,76.75129632938076,actual_indiv_consump
Estonia,2015,171.25,131.73076923076923,13.7,58.798283261802574,60.888888888888886,64.5949893296437,61.65242098640964,78.63244353645312,actual_indiv_consump
Estonia,2016,177.5,136.53846153846155,14.2,59.41422594142259,62.55506607929515,65.45524303418941,62.94398304972518,79.60959245517712,actual_indiv_consump
Estonia,2017,183.75,141.34615384615384,14.7,59.75609756097561,63.63636363636363,65.99081050757444,63.498002978537144,79.5221783170718,actual_indiv_consump
Estonia,2018,193.75,149.03846153846155,15.5,61.023622047244096,65.67796610169492,67.78101654843258,65.19164236491157,81.85766103322393,actual_indiv_consump
Estonia,2019,201.25,154.80769230769232,16.1,62.16216216216216,67.08333333333333,68.70375090683413,66.31484378494335,83.00870402606348,actual_indiv_consump
Estonia,2020,198.75,152.8846153846154,15.9,64.11290322580645,70.04405286343612,71.3374195211568,68.00553083064959,90.07330121781297,actual_indiv_consump
Estonia,2021,210,161.53846153846155,16.8,64.12213740458016,66.93227091633466,71.02332587865507,67.67679095477435,86.4467267350561,actual_indiv_consump
Estonia,2022,230,176.92307692307693,18.4,64.11149825783973,66.4259927797834,70.78066521961338,68.10036600246488,84.21996984271597,actual_indiv_consump
