country,region,start_yr,end_yr_gni,start_gni,end_gni,change_gni,end_yr_gdp,start_gdp,end_gdp,change_gdp,color_cntr,pop,text_str_lin,text_str_log,text_str,type_scale,sel_var
North Macedonia,ex-USSR/Balkans,1990,2023,12007.635,22128.395,10.12076,2024,12904.5181514137,24465.3919306751,11.560873779261401,6,1792179,"North Macedonia, ΔGNI/cap: 10k, ΔGDP/cap: 12k","North Macedonia, logratio(GNI/cap): 10.1, logratio(GDP/cap): 11.6","North Macedonia, ΔGNI/cap: 10k, ΔGDP/cap: 12k",lin,value
Italy,Southern Europe,1990,2023,42767.633,52388.883,9.62125,2024,42656.7445101659,53115.1350996573,10.4583905894914,2,58986023,"Italy, ΔGNI/cap: 10k, ΔGDP/cap: 10k","Italy, logratio(GNI/cap): 9.6, logratio(GDP/cap): 10.5","Italy, ΔGNI/cap: 10k, ΔGDP/cap: 10k",lin,value
Argentina,Latin America,1990,2023,16405.537,25876.053,9.470516,2024,17007.2844317191,26547.0503429365,9.539765911217401,1,45696159,"Argentina, ΔGNI/cap: 9k, ΔGDP/cap: 10k","Argentina, logratio(GNI/cap): 9.5, logratio(GDP/cap): 9.5","Argentina, ΔGNI/cap: 9k, ΔGDP/cap: 10k",lin,value
Georgia,ex-USSR/Balkans,1990,2023,11650.671,20752.57,9.101899,2024,12917.0944269361,25000.6326416981,12.083538214762,3,3673850,"Georgia, ΔGNI/cap: 9k, ΔGDP/cap: 12k","Georgia, logratio(GNI/cap): 9.1, logratio(GDP/cap): 12.1","Georgia, ΔGNI/cap: 9k, ΔGDP/cap: 12k",lin,value
Colombia,Latin America,1990,2023,9675.699,18665.95,8.990251,2024,9998.81069684463,18503.6706011465,8.50485990430187,4,52886363,"Colombia, ΔGNI/cap: 9k, ΔGDP/cap: 9k","Colombia, logratio(GNI/cap): 9, logratio(GDP/cap): 8.5","Colombia, ΔGNI/cap: 9k, ΔGDP/cap: 9k",lin,value
Greece,Southern Europe,1990,2023,27322.46,35760.75,8.43829,2024,26916.3125225704,37752.6321172664,10.836319594696004,1,10388805,"Greece, ΔGNI/cap: 8k, ΔGDP/cap: 11k","Greece, logratio(GNI/cap): 8.4, logratio(GDP/cap): 10.8","Greece, ΔGNI/cap: 8k, ΔGDP/cap: 11k",lin,value
Russia,ex-USSR/Balkans,1990,2023,30906.912,39221.684,8.314772000000001,2024,29643.595703125,41704.7109375,12.061115234375,7,143533851,"Russia, ΔGNI/cap: 8k, ΔGDP/cap: 12k","Russia, logratio(GNI/cap): 8.3, logratio(GDP/cap): 12.1","Russia, ΔGNI/cap: 8k, ΔGDP/cap: 12k",lin,value
Egypt,Africa,1990,2023,7964.0776,16218.135,8.254057400000002,2024,8006.62143741369,16798.151577864,8.791530140450309,2,116538258,"Egypt, ΔGNI/cap: 8k, ΔGDP/cap: 9k","Egypt, logratio(GNI/cap): 8.3, logratio(GDP/cap): 8.8","Egypt, ΔGNI/cap: 8k, ΔGDP/cap: 9k",lin,value
Brazil,Latin America,1990,2023,12177.599,18011.285,5.833686,2024,12633.2884560597,19647.9096329925,7.014621176932802,2,211998573,"Brazil, ΔGNI/cap: 6k, ΔGDP/cap: 7k","Brazil, logratio(GNI/cap): 5.8, logratio(GDP/cap): 7","Brazil, ΔGNI/cap: 6k, ΔGDP/cap: 7k",lin,value
Ecuador,Latin America,1990,2023,8236.324,13986.397,5.750073,2024,9104.81599790272,13935.5391125402,4.83072311463748,7,18135478,"Ecuador, ΔGNI/cap: 6k, ΔGDP/cap: 5k","Ecuador, logratio(GNI/cap): 5.8, logratio(GDP/cap): 4.8","Ecuador, ΔGNI/cap: 6k, ΔGDP/cap: 5k",lin,value
Paraguay,Latin America,1990,2023,9612.724,15252.22,5.639495999999999,2024,9962.48027842986,16296.2836189267,6.333803340496839,11,6929153,"Paraguay, ΔGNI/cap: 6k, ΔGDP/cap: 6k","Paraguay, logratio(GNI/cap): 5.6, logratio(GDP/cap): 6.3","Paraguay, ΔGNI/cap: 6k, ΔGDP/cap: 6k",lin,value
Tunisia,Africa,1990,2023,6425.749,12011.388,5.585639000000001,2024,6742.57685903794,12713.5498473821,5.970972988344161,5,12277109,"Tunisia, ΔGNI/cap: 6k, ΔGDP/cap: 6k","Tunisia, logratio(GNI/cap): 5.6, logratio(GDP/cap): 6","Tunisia, ΔGNI/cap: 6k, ΔGDP/cap: 6k",lin,value
Mexico,Latin America,1990,2023,17073.438,21812.656,4.739218000000001,2024,17169.5925839593,22033.2744496619,4.863681865702602,9,130861007,"Mexico, ΔGNI/cap: 5k, ΔGDP/cap: 5k","Mexico, logratio(GNI/cap): 4.7, logratio(GDP/cap): 4.9","Mexico, ΔGNI/cap: 5k, ΔGDP/cap: 5k",lin,value
Morocco,Africa,1990,2023,4255.4136,8652.881,4.3974674,2024,4418.66015625,9065.9140625,4.6472539062500005,3,38081173,"Morocco, ΔGNI/cap: 4k, ΔGDP/cap: 5k","Morocco, logratio(GNI/cap): 4.4, logratio(GDP/cap): 4.6","Morocco, ΔGNI/cap: 4k, ΔGDP/cap: 5k",lin,value
South Africa,Africa,1990,2023,9628.174,13693.988,4.065813999999999,2024,10824.3847590107,13598.7888656984,2.7744041066877,4,64007187,"South Africa, ΔGNI/cap: 4k, ΔGDP/cap: 3k","South Africa, logratio(GNI/cap): 4.1, logratio(GDP/cap): 2.8","South Africa, ΔGNI/cap: 4k, ΔGDP/cap: 3k",lin,value
Algeria,Africa,1990,2023,11297.324,15114.172,3.8168480000000002,2024,11728.5457286791,15442.1244460542,3.7135787173751,1,46814308,"Algeria, ΔGNI/cap: 4k, ΔGDP/cap: 4k","Algeria, logratio(GNI/cap): 3.8, logratio(GDP/cap): 3.7","Algeria, ΔGNI/cap: 4k, ΔGDP/cap: 4k",lin,value
Iran,Asia,1990,2023,13115.075,16095.771,2.980696,2024,9046.58484470857,16224.0353445835,7.177450499874931,2,91567738,"Iran, ΔGNI/cap: 3k, ΔGDP/cap: 7k","Iran, logratio(GNI/cap): 3, logratio(GDP/cap): 7.2","Iran, ΔGNI/cap: 3k, ΔGDP/cap: 7k",lin,value
Jamaica,Latin America,1990,2023,9117.886,10056.985,0.9390990000000001,2024,8742.16514946537,10259.9951095504,1.5178299600850296,8,2839175,"Jamaica, ΔGNI/cap: 1k, ΔGDP/cap: 2k","Jamaica, logratio(GNI/cap): 0.9, logratio(GDP/cap): 1.5","Jamaica, ΔGNI/cap: 1k, ΔGDP/cap: 2k",lin,value
Moldova,ex-USSR/Balkans,1990,2023,16041.989,15866.542,-0.17544700000000013,2024,15902.8943232278,16465.9286876097,0.5630343643818997,5,2389275,"Moldova, ΔGNI/cap: 0k, ΔGDP/cap: 1k","Moldova, logratio(GNI/cap): -0.2, logratio(GDP/cap): 0.6","Moldova, ΔGNI/cap: 0k, ΔGDP/cap: 1k",lin,value
