cntr_group,region,country,Code,year,year_end,varname,value,value_end,pop,min_yr,max_yr,trans_rec_end_yr,era,era_col,era_num,era_low,era_high,cntr_region,change_val,change_lab,change_sign,sel_var
CEE,CEE,Romania,ROU,1965,1989,value,68.3864,69.5461,18713016,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,CEE: Romania,1.1597000000000008,+1.2,increase,value
CEE,CEE,Romania,ROU,1989,1995,value,69.5461,69.323,22887592,1950,2023,1995,1989-1995,transition,3,2.5,3.5,CEE: Romania,-0.2231000000000023,-0.2,no change,value
CEE,CEE,Romania,ROU,1995,2023,value,69.323,75.9381,22657664,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,CEE: Romania,6.615100000000012,+6.6,increase,value
USSR,ex-USSR/Balkans,Russia,RUS,1950,1965,value,55.4723,69.2843,103392314,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,USSR: Russia,13.812000000000005,+13.8,increase,value
USSR,ex-USSR/Balkans,Russia,RUS,1965,1989,value,69.2843,69.6868,126634148,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,USSR: Russia,0.4025000000000034,+0.4,no change,value
USSR,ex-USSR/Balkans,Russia,RUS,1989,1995,value,69.6868,63.9945,148281823,1950,2023,1995,1989-1995,transition,3,2.5,3.5,USSR: Russia,-5.692300000000003,-5.7,decrease,value
USSR,ex-USSR/Balkans,Russia,RUS,1995,2023,value,63.9945,73.1541,148291356,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,USSR: Russia,9.159599999999998,+9.2,increase,value
Yugosl.,ex-USSR/Balkans,Serbia,SRB,1950,1965,value,55.0875,68.7171,6009148,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,Yugosl.: Serbia,13.629600000000003,+13.6,increase,value
Yugosl.,ex-USSR/Balkans,Serbia,SRB,1965,1989,value,68.7171,72.3396,7031084,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,Yugosl.: Serbia,3.6225000000000023,+3.6,increase,value
Yugosl.,ex-USSR/Balkans,Serbia,SRB,1989,1995,value,72.3396,72.7264,7881211,1950,2023,1995,1989-1995,transition,3,2.5,3.5,Yugosl.: Serbia,0.3867999999999938,+0.4,no change,value
Yugosl.,ex-USSR/Balkans,Serbia,SRB,1995,2023,value,72.7264,76.7693,7823230,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,Yugosl.: Serbia,4.042900000000003,+4,increase,value
CEE,CEE,Slovakia,SVK,1950,1965,value,60.7756,70.2836,3465707,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,CEE: Slovakia,9.50800000000001,+9.5,increase,value
