sex,unit,country,year,value,Code,pop,% of DE,% of AT,% of W_EUR3,% of S_EUR4,region,year_end,value_end,era
Total,Purchasing power standard (PPS),Estonia,2014,6.49,EST,1314402,42.03367875647668,48.9811320754717,46.43207000288344,59.63154444440146,CEE,2018,73.2678363947564,2014-2018
Total,Purchasing power standard (PPS),Estonia,2018,7.86,EST,1321918,48.72907625542468,57.624633431085044,55.47768694129474,73.2678363947564,CEE,2022,86.21880025699788,2018-2022
Total,Purchasing power standard (PPS),Hungary,2006,4.44,HUN,10049900,30.79056865464633,40.07220216606499,35.32446722739045,46.81500053230876,CEE,2010,54.0642145021744,2006-2010
Total,Purchasing power standard (PPS),Hungary,2010,5.63,HUN,9979076,38.22131704005431,47.9557069846678,43.197538935685905,54.0642145021744,CEE,2014,57.334489573661806,2010-2014
Total,Purchasing power standard (PPS),Hungary,2014,6.24,HUN,9862785,40.41450777202073,47.094339622641506,44.64346946348115,57.334489573661806,CEE,2018,63.200500096240255,2014-2018
Total,Purchasing power standard (PPS),Hungary,2018,6.78,HUN,9774342,42.033477991320524,49.70674486803519,47.85479865928478,63.200500096240255,CEE,2022,73.10034165330154,2018-2022
Total,Purchasing power standard (PPS),Latvia,2006,3.4,LVA,2218989,23.578363384188627,30.685920577617328,27.05026769665034,35.849324731948144,CEE,2010,30.153043256985367,2006-2010
Total,Purchasing power standard (PPS),Latvia,2010,3.14,LVA,2097787,21.31704005431093,26.74616695059625,24.092410703029085,30.153043256985367,CEE,2014,43.91968912854222,2010-2014
Total,Purchasing power standard (PPS),Latvia,2014,4.78,LVA,1994096,30.958549222797927,36.075471698113205,34.19804231337178,43.91968912854222,CEE,2018,59.93793740690632,2014-2018
Total,Purchasing power standard (PPS),Latvia,2018,6.43,LVA,1927526,39.863608183508994,47.14076246334311,45.384418197522294,59.93793740690632,CEE,2022,73.67788385598,2018-2022
Total,Purchasing power standard (PPS),Lithuania,2006,3.96,LTU,3269761,27.461858529819693,35.74007220216606,31.505605905510397,41.75391939368078,CEE,2010,43.69310408257434,2006-2010
Total,Purchasing power standard (PPS),Lithuania,2010,4.55,LTU,3097660,30.889341479972845,38.756388415672916,34.910977292605835,43.69310408257434,CEE,2014,45.481686440645184,2010-2014
Total,Purchasing power standard (PPS),Lithuania,2014,4.95,LTU,2933118,32.05958549222798,37.35849056603774,35.41429068016534,45.481686440645184,CEE,2018,60.497233867934995,2014-2018
Total,Purchasing power standard (PPS),Lithuania,2018,6.49,LTU,2802430,40.23558586484811,47.58064516129032,45.80791199096729,60.497233867934995,CEE,2022,96.69706593416413,2018-2022
Total,Purchasing power standard (PPS),Poland,2006,5.42,POL,38071124,37.586685159500696,48.91696750902527,43.121309092895544,57.14804119034086,CEE,2010,64.62738252213742,2006-2010
Total,Purchasing power standard (PPS),Poland,2010,6.73,POL,38095304,45.68906992532247,57.325383304940374,51.6375554240082,64.62738252213742,CEE,2014,70.65740782395181,2010-2014
Total,Purchasing power standard (PPS),Poland,2014,7.69,POL,38265064,49.80569948186529,58.0377358490566,55.01735259201444,70.65740782395181,CEE,2018,77.92864023666203,2014-2018
Total,Purchasing power standard (PPS),Poland,2018,8.36,POL,38241017,51.82889026658401,61.29032258064516,59.00680188666973,77.92864023666203,CEE,2022,92.65427051541494,2018-2022
Total,Purchasing power standard (PPS),Romania,2006,2.78,ROU,21035673,19.27877947295423,25.09025270758123,22.11757182255528,29.31209492788701,CEE,2010,37.547260870959484,2006-2010
Total,Purchasing power standard (PPS),Romania,2010,3.91,ROU,20432524,26.544467073998643,33.30494037478705,30.000422244854686,37.547260870959484,CEE,2014,35.098998424901936,2010-2014
Total,Purchasing power standard (PPS),Romania,2014,3.82,ROU,19968125,24.740932642487046,28.830188679245282,27.32981624206699,35.098998424901936,CEE,2018,64.41230909513573,2014-2018
Total,Purchasing power standard (PPS),Romania,2018,6.91,ROU,19597823,42.83942963422195,50.65982404692082,48.77236854508227,64.41230909513573,CEE,2022,81.9284867513865,2018-2022
Total,Purchasing power standard (PPS),Slovakia,2006,3.7,SVK,5376793,25.65880721220527,33.39350180505415,29.43705602282537,39.012500443590625,CEE,2010,56.368905706529965,2006-2010
Total,Purchasing power standard (PPS),Slovakia,2010,5.87,SVK,5391807,39.850644942294636,50,45.03899707859259,56.368905706529965,CEE,2014,59.63154444440146,2010-2014
Total,Purchasing power standard (PPS),Slovakia,2014,6.49,SVK,5415184,42.03367875647668,48.9811320754717,46.43207000288344,59.63154444440146,CEE,2018,65.99698240138363,2014-2018
