year,ksh_kod,telepules,jogallas,megye,terulet_ha,lakonepesseg,lakasok
2012,19664,Alsódobsza,község,Borsod-Abaúj-Zemplén,1068.0,319,164
2012,14429,Alsógagy,község,Borsod-Abaúj-Zemplén,628.0,97,56
2012,17385,Alsómocsolád,község,Baranya,1300.0,329,141
2012,29665,Alsónána,község,Tolna,1314.0,689,280
2012,23199,Alsónémedi,nagyközség,Pest,4907.0,5206,2075
2012,19512,Alsónemesapáti,község,Zala,1451.0,722,290
2012,11563,Alsónyék,község,Tolna,3204.0,751,307
2012,30526,Alsóörs,község,Veszprém,3334.0,1474,696
2012,32081,Alsópáhok,község,Zala,1802.0,1293,599
2012,16425,Alsópetény,község,Nógrád,1968.0,666,317
2012,18829,Alsórajk,község,Zala,845.0,347,175
2012,23223,Alsóregmec,község,Borsod-Abaúj-Zemplén,1539.0,196,92
2012,08767,Alsószenterzsébet,község,Zala,963.0,66,39
2012,25283,Alsószentiván,község,Fejér,3965.0,608,289
2012,33279,Alsószentmárton,község,Baranya,1361.0,1177,311
2012,22549,Alsószölnök,község,Vas,1002.0,367,171
2012,28839,Alsószuha,község,Borsod-Abaúj-Zemplén,2242.0,479,186
2012,08217,Alsótelekes,község,Borsod-Abaúj-Zemplén,644.0,135,93
2012,07621,Alsótold,község,Nógrád,786.0,243,110
2012,22725,Alsóújlak,község,Vas,2102.0,584,308
2012,29814,Alsóvadász,község,Borsod-Abaúj-Zemplén,2290.0,1562,454
2012,21032,Alsózsolca,város,Borsod-Abaúj-Zemplén,2602.0,5937,1855
2012,16197,Ambrózfalva,község,Csongrád,1122.0,486,247
2012,29975,Anarcs,község,Szabolcs-Szatmár-Bereg,1706.0,1912,683
2012,28714,Andocs,község,Somogy,4327.0,1094,477
2012,17987,Andornaktálya,község,Heves,1675.0,2740,1032
2012,12317,Andrásfa,község,Vas,823.0,246,144
2012,34227,Annavölgy,község,Komárom-Esztergom,483.0,935,403
2012,28370,Apácatorna,község,Veszprém,729.0,163,85
2012,20303,Apagy,község,Szabolcs-Szatmár-Bereg,3204.0,2199,875
2012,33561,Apaj,község,Pest,7104.0,1205,441
2012,26125,Aparhant,község,Tolna,1796.0,1006,384
2012,14252,Apátfalva,község,Csongrád,5378.0,2941,1598
2012,08873,Apátistvánfalva,község,Vas,1286.0,358,166
