cntr_group,country,Code,cntr_region,era,varname,value,value_end,era_col,scaling,change_val,change_val_lab,change_lab,change_sign,era_num,pop,type_scale,sel_var
world regions,S_EUR4,S_EUR4,world regions: S_EUR4,1965-1989,value,70.19821640318807,76.7742732731975,socialism,1,6.576056870009424,7,+7,increase,2,101002195,linear,value
world regions,S_EUR4,S_EUR4,world regions: S_EUR4,1989-1995,value,76.7742732731975,77.91107257569574,transition,1,1.1367993024982468,1,+1,increase,3,116225538,linear,value
world regions,S_EUR4,S_EUR4,world regions: S_EUR4,1995-2023,value,77.91107257569574,83.43965144649579,capitalism,1,5.528578870800047,6,+6,increase,4,118006877,linear,value
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1950-1965,value,55.0875,68.7171,socialism,1,13.629600000000003,14,+14,increase,1,6009148,linear,value
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1965-1989,value,68.7171,72.3396,socialism,1,3.6225000000000023,4,+4,increase,2,7031084,linear,value
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1989-1995,value,72.3396,72.7264,transition,1,0.3867999999999938,0,+0,no change,3,7881211,linear,value
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1995-2023,value,72.7264,76.7693,capitalism,1,4.042900000000003,4,+4,increase,4,7823230,linear,value
CEE,Slovakia,SVK,CEE: Slovakia,1950-1965,value,60.7756,70.2836,socialism,1,9.50800000000001,10,+10,increase,1,3465707,linear,value
CEE,Slovakia,SVK,CEE: Slovakia,1965-1989,value,70.2836,70.9375,socialism,1,0.653899999999993,1,+1,increase,2,4364999,linear,value
CEE,Slovakia,SVK,CEE: Slovakia,1989-1995,value,70.9375,72.2537,transition,1,1.316199999999995,1,+1,increase,3,5249882,linear,value
CEE,Slovakia,SVK,CEE: Slovakia,1995-2023,value,72.2537,78.3414,capitalism,1,6.087699999999998,6,+6,increase,4,5354244,linear,value
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1950-1965,value,61.8152,68.7006,socialism,1,6.885399999999997,7,+7,increase,1,1446309,linear,value
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1965-1989,value,68.7006,73.2901,socialism,1,4.589500000000001,5,+5,increase,2,1675272,linear,value
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1989-1995,value,73.2901,74.4188,transition,1,1.1287000000000091,1,+1,increase,3,1995417,linear,value
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1995-2023,value,74.4188,81.6034,capitalism,1,7.184599999999989,7,+7,increase,4,1988051,linear,value
USSR,Ukraine,UKR,USSR: Ukraine,1950-1965,value,61.1744,71.1431,socialism,1,9.968700000000005,10,+10,increase,1,37310845,linear,value
USSR,Ukraine,UKR,USSR: Ukraine,1965-1989,value,71.1431,70.8389,socialism,1,-0.3042000000000087,-0,+0,no change,2,45386845,linear,value
USSR,Ukraine,UKR,USSR: Ukraine,1989-1995,value,70.8389,67.1138,transition,1,-3.7250999999999976,-4,-4,decrease,3,51917779,linear,value
USSR,Ukraine,UKR,USSR: Ukraine,1995-2023,value,67.1138,73.4225,capitalism,1,6.308700000000002,6,+6,increase,4,51665488,linear,value
world regions,W_EUR3,W_EUR3,world regions: W_EUR3,1950-1965,value,66.37877790106052,70.65176277735874,socialism,1,4.272984876298224,4,+4,increase,1,158122425,linear,value
world regions,W_EUR3,W_EUR3,world regions: W_EUR3,1965-1989,value,70.65176277735874,76.21535551821133,socialism,1,5.5635927408525845,6,+6,increase,2,176220383,linear,value
world regions,W_EUR3,W_EUR3,world regions: W_EUR3,1989-1995,value,76.21535551821133,77.39736038586435,transition,1,1.1820048676530206,1,+1,increase,3,192668736,linear,value
world regions,W_EUR3,W_EUR3,world regions: W_EUR3,1995-2023,value,77.39736038586435,82.65334448590652,capitalism,1,5.25598410004217,5,+5,increase,4,197615305,linear,value
world regions,World,World,world regions: World,1950-1965,value,46.3944,53.9975,socialism,1,7.603100000000005,8,+8,increase,1,2493092801,linear,value
world regions,World,World,world regions: World,1965-1989,value,53.9975,63.7817,socialism,1,9.784199999999998,10,+10,increase,2,3334533671,linear,value
world regions,World,World,world regions: World,1989-1995,value,63.7817,64.8817,transition,1,1.0999999999999943,1,+1,increase,3,5234431681,linear,value
world regions,World,World,world regions: World,1995-2023,value,64.8817,73.1694,capitalism,1,8.287700000000001,8,+8,increase,4,5758878939,linear,value
USSR,Belarus,BLR,USSR: Belarus,1950-1965,% of DE,87.77211006537826,101.42456435459916,socialism,1,13.652454289220898,14,+14,convergence,1,7127548,linear,% of DE
USSR,Belarus,BLR,USSR: Belarus,1965-1989,% of DE,101.42456435459916,94.7479030569653,socialism,1,-6.676661297633856,-7,-7,divergence,2,8679894,linear,% of DE
