variable,init_yr,last_yr,country,unit,val_init,val_2010,val_last
median_hourly_earnings,2006,2022,Finland,current_PPS,89.95919648063833,97.41297323674864,92.83837842834718
median_hourly_earnings,2006,2022,France,constant_PPS,91.3361229573828,89.17370229681407,92.18332893334282
median_hourly_earnings,2006,2022,France,constant_euro_2006,93.75738171682437,90.9307160030831,91.86973455498143
median_hourly_earnings,2006,2022,France,current_PPS,91.3361229573828,89.17370229681407,92.18332893334282
median_hourly_earnings,2006,2022,Germany,constant_PPS,110.30710997030653,107.40217782764279,103.20007044023455
median_hourly_earnings,2006,2022,Germany,constant_euro_2006,105.09614292218484,102.04339702940058,100.53849760534676
median_hourly_earnings,2006,2022,Germany,current_PPS,110.30710997030653,107.40217782764279,103.20007044023455
median_hourly_earnings,2006,2022,Hungary,constant_PPS,33.964186426363455,41.050526895426266,52.76125932489777
median_hourly_earnings,2006,2022,Hungary,constant_euro_2006,19.754300902436242,20.893645019452663,32.97715953617851
median_hourly_earnings,2006,2022,Hungary,current_PPS,33.964186426363455,41.050526895426266,52.76125932489776
median_hourly_earnings,2006,2022,Latvia,constant_PPS,26.00861122739544,22.894965266720867,53.17810900353691
median_hourly_earnings,2006,2022,Latvia,constant_euro_2006,13.71356313361392,15.690387371385487,27.63575243958551
median_hourly_earnings,2006,2022,Latvia,current_PPS,26.008611227395434,22.894965266720867,53.17810900353691
median_hourly_earnings,2006,2022,Lithuania,constant_PPS,30.292382488378212,33.17582546610826,69.79254619501148
median_hourly_earnings,2006,2022,Lithuania,constant_euro_2006,15.167661989474821,15.339765291139374,33.83074045636013
median_hourly_earnings,2006,2022,Lithuania,current_PPS,30.292382488378212,33.17582546610826,69.7925461950115
median_hourly_earnings,2006,2022,Netherlands,constant_PPS,91.56561070350688,100.98575444079107,96.4113756738256
median_hourly_earnings,2006,2022,Netherlands,constant_euro_2006,90.42662061274973,103.01921437436685,94.98104958550412
median_hourly_earnings,2006,2022,Netherlands,current_PPS,91.56561070350688,100.98575444079107,96.4113756738256
median_hourly_earnings,2006,2022,Poland,constant_PPS,41.46078613308331,49.071056128990904,66.87459844453745
median_hourly_earnings,2006,2022,Poland,constant_euro_2006,22.962512285877466,26.283442479882336,37.931219957690175
median_hourly_earnings,2006,2022,Poland,current_PPS,41.46078613308331,49.071056128990904,66.87459844453745
median_hourly_earnings,2006,2022,Romania,constant_PPS,21.265864474164502,28.509335730216108,59.13310441266758
median_hourly_earnings,2006,2022,Romania,constant_euro_2006,10.39009652321618,13.631926194581737,31.134095877661633
median_hourly_earnings,2006,2022,Romania,current_PPS,21.265864474164502,28.50933573021611,59.13310441266758
median_hourly_earnings,2006,2022,Slovakia,constant_PPS,28.303488688636214,42.80046054638582,58.00165528493275
median_hourly_earnings,2006,2022,Slovakia,constant_euro_2006,22.06986025955402,25.79680765100018,37.20559642045828
median_hourly_earnings,2006,2022,Slovakia,current_PPS,28.303488688636207,42.80046054638582,58.00165528493276
median_hourly_earnings,2006,2022,Slovenia,constant_PPS,56.14800188502426,62.41430021755752,73.48464334867252
median_hourly_earnings,2006,2022,Slovenia,constant_euro_2006,38.831495521299736,45.117285087963076,52.729527860825165
median_hourly_earnings,2006,2022,Slovenia,current_PPS,56.14800188502426,62.41430021755752,73.4846433486725
median_hourly_earnings,2006,2022,Sweden,constant_PPS,90.64765971901055,93.91310593482955,90.63503012696886
median_hourly_earnings,2006,2022,Sweden,constant_euro_2006,101.26630091327031,106.3528562281685,116.04061352011823
median_hourly_earnings,2006,2022,Sweden,current_PPS,90.64765971901055,93.91310593482955,90.63503012696886
