country,iso2c,iso3c,year,gdp_pc_ppp,gdp_pc_const2015,gni_pc_ppp
Bulgaria,BG,BGR,2016,25628.2973754145,7586.50414873238,23799.9095046552
Bulgaria,BG,BGR,2017,26682.9631303824,7898.70694583532,24991.250817878
Bulgaria,BG,BGR,2018,27741.0970922285,8211.93640364397,25786.9051216269
Bulgaria,BG,BGR,2019,29201.5127020228,8644.24951911477,27681.1797586532
Bulgaria,BG,BGR,2020,28547.3500293302,8450.60388758371,27677.7427955356
Bulgaria,BG,BGR,2021,30973.6942070222,9168.85176416607,29737.4163602061
Bulgaria,BG,BGR,2022,32435.0145952407,9601.43271269533,30722.4614179293
Bulgaria,BG,BGR,2023,33141.8444182014,9810.66890602451,31474.4759246632
Bulgaria,BG,BGR,2024,34085.1952950467,10089.9202053232,32274.6230621858
Croatia,HR,HRV,1990,23399.6954608454,9753.60487836725,NA
Croatia,HR,HRV,1991,18812.9105549554,7841.71300315166,NA
Croatia,HR,HRV,1992,17020.2074563824,7094.46747950951,NA
Croatia,HR,HRV,1993,15570.375935875,6490.1397943525,NA
Croatia,HR,HRV,1994,16301.7246832341,6794.98507415394,NA
Croatia,HR,HRV,1995,17523.9931508556,7304.45852898653,16569.2624665238
Croatia,HR,HRV,1996,18851.3189374939,7857.72262122232,17821.9212498197
Croatia,HR,HRV,1997,20111.9408107023,8383.1827782947,19100.00411456
Croatia,HR,HRV,1998,20577.4340092247,8577.21251426078,19875.6729629404
Croatia,HR,HRV,1999,20491.1316099293,8541.23941776512,19237.771056174
Croatia,HR,HRV,2000,21303.7619257451,8879.96498049361,19963.402148731
Croatia,HR,HRV,2001,22828.2442093319,9515.40905552687,21316.3970011286
Croatia,HR,HRV,2002,24138.8271922995,10061.694309434,22732.9005285959
Croatia,HR,HRV,2003,25475.7131003154,10618.9433102196,23849.8582327575
Croatia,HR,HRV,2004,26530.7696086288,11058.7184484755,25497.2098280782
Croatia,HR,HRV,2005,27643.1675756662,11522.3950059819,26422.3550740677
Croatia,HR,HRV,2006,29041.0135537341,12105.053757832,27840.2297824455
Croatia,HR,HRV,2007,30513.9286585701,12719.0032844824,29493.8256872654
Croatia,HR,HRV,2008,31118.3193031352,12970.9291075827,29999.1245404379
Croatia,HR,HRV,2009,29028.4024680788,12099.7971276004,27977.3421091242
Croatia,HR,HRV,2010,28706.1778436133,11965.4854792127,27755.0738905561
Croatia,HR,HRV,2011,28777.3035466872,11995.1325319122,27995.9437542435
Croatia,HR,HRV,2012,28262.4617422876,11780.5330067439,27350.5050429667
Croatia,HR,HRV,2013,28403.318570729,11839.2458156921,27834.9803407481
Croatia,HR,HRV,2014,28462.3661833381,11863.8584044911,28087.1808363245
