country,year,rel_val-2005,rel_val-2010,var_name
Hungary,2010,120.62578672900557,100,median_equiv_net_income
Hungary,2011,128.30426182341304,106.36553369111509,median_equiv_net_income
Hungary,2012,136.73799676317208,113.3571854502087,median_equiv_net_income
Hungary,2013,130.85775939579213,108.48240906380441,median_equiv_net_income
Hungary,2014,135.9287897860097,112.68634466308885,median_equiv_net_income
Hungary,2015,142.40244560330876,118.0530709600477,median_equiv_net_income
Hungary,2016,148.6603128933645,123.24090638044126,median_equiv_net_income
Hungary,2017,149.82916741593237,124.20989862850328,median_equiv_net_income
Hungary,2018,154.70239165617696,128.24985092426954,median_equiv_net_income
Hungary,2019,168.02733321345082,139.2963625521765,median_equiv_net_income
Hungary,2020,162.84840855961158,135.00298151460942,median_equiv_net_income
Hungary,2021,179.1044776119403,148.47942754919498,median_equiv_net_income
Hungary,2022,190.97284661032188,158.31842576028623,median_equiv_net_income
Hungary,2023,196.2416831505125,162.68634466308885,median_equiv_net_income
Hungary,2024,201.3846430498112,166.9499105545617,median_equiv_net_income
Latvia,2005,100,NA,median_equiv_net_income
Latvia,2006,114.42086422909742,NA,median_equiv_net_income
Latvia,2007,142.85349015597035,NA,median_equiv_net_income
Latvia,2008,182.51086678598824,NA,median_equiv_net_income
Latvia,2009,182.3574533367425,NA,median_equiv_net_income
Latvia,2010,150.2429046279724,100,median_equiv_net_income
Latvia,2011,151.98159038609052,101.1572498298162,median_equiv_net_income
Latvia,2012,155.99590897468678,103.82913546630361,median_equiv_net_income
Latvia,2013,164.81718230631552,109.70047651463581,median_equiv_net_income
Latvia,2014,187.164408079775,124.57454050374405,median_equiv_net_income
Latvia,2015,206.9036052160573,137.71272974812797,median_equiv_net_income
Latvia,2016,236.69138327793402,157.53914227365556,median_equiv_net_income
Latvia,2017,236.46126310406547,157.3859768550034,median_equiv_net_income
Latvia,2018,256.48171823063154,170.71136827773995,median_equiv_net_income
Latvia,2019,282.0506264382511,187.7297481279782,median_equiv_net_income
Latvia,2020,289.9258501661979,192.9714091218516,median_equiv_net_income
Latvia,2021,306.1876757862439,203.79509870660314,median_equiv_net_income
Latvia,2022,328.4326259268729,218.6010891763104,median_equiv_net_income
Latvia,2023,338.2255177703912,225.11912865895167,median_equiv_net_income
Latvia,2024,376.3998977243672,250.5275697753574,median_equiv_net_income
Lithuania,2005,100,NA,median_equiv_net_income
Lithuania,2006,120.09357941252924,NA,median_equiv_net_income
Lithuania,2007,148.53132310891604,NA,median_equiv_net_income
Lithuania,2008,178.11281518066025,NA,median_equiv_net_income
Lithuania,2009,185.83311671432284,NA,median_equiv_net_income
Lithuania,2010,156.4335846113855,100,median_equiv_net_income
Lithuania,2011,157.73329867429166,100.83084081090063,median_equiv_net_income
Lithuania,2012,174.7855471796205,111.73147224991692,median_equiv_net_income
Lithuania,2013,189.29035612165325,121.00365569956796,median_equiv_net_income
Lithuania,2014,197.4265661554458,126.20471917580592,median_equiv_net_income
Lithuania,2015,214.47881466077462,137.1053506148222,median_equiv_net_income
Lithuania,2016,243.41044970106577,155.59986706547025,median_equiv_net_income
Lithuania,2017,255.23784767351182,163.160518444666,median_equiv_net_income
Lithuania,2018,278.1907980244346,177.83316716517115,median_equiv_net_income
Lithuania,2019,299.16818299974005,191.24293785310735,median_equiv_net_income
Lithuania,2020,326.1242526644138,208.47457627118644,median_equiv_net_income
Lithuania,2021,357.2134130491292,228.34828846792954,median_equiv_net_income
Lithuania,2022,369.17078242786584,235.99202392821536,median_equiv_net_income
Lithuania,2023,372.0301533662594,237.81987371219674,median_equiv_net_income
Lithuania,2024,392.77358981024173,251.08009305417082,median_equiv_net_income
Poland,2005,100,NA,median_equiv_net_income
