country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,period_lab_T_F,period_lab,x_start,x_end,type_scale,sel_var
Spain,Southern Europe,1995,2024,52046.36,54564.408,40052688,48807137,49934.544248233775,46976.14325682551,1,2518.0480000000025,0.04724694220197799,2958.4009914082635,0.061073150190958526,black,$2518k,0.05,0.05,10.88351360994173,46976 → 49935,10.76 → 10.82,0.06,+0.06 (10.76 → 10.82),"Southern Europe
+0.06 (10.76 → 10.82)",FALSE,,10.859890138840742,10.90713708104272,logratio,value
Italy,Southern Europe,1995,2024,49665.009,51018.982,57403300,58986023,49934.544248233775,46976.14325682551,1,1353.9730000000054,0.026897118673541293,2958.4009914082635,0.061073150190958526,black,$1354k,0.03,0.03,10.826504479200345,46976 → 49935,10.76 → 10.82,0.06,+0.06 (10.76 → 10.82),"Southern Europe
+0.06 (10.76 → 10.82)",FALSE,,10.813055919863574,10.839953038537116,logratio,value
Latvia,CEE,1995,2024,0.19851846058001946,0.656265397023683,2485908,1862441,60.8908623465422,34.20099470019715,0.01,0.4577469364436636,1.195683179555832,0.2668986764634505,0.576828391440762,black,+0%,1.2,1.2,-1.0190315929981246,0 → 1,-1.07 → -0.5,0.58,+0.58 (-1.07 → -0.5),"CEE
+0.58 (-1.07 → -0.5)",FALSE,,-1.6168731827760408,-0.42119000322020855,logratio,% of DE
Lithuania,CEE,1995,2024,0.2372395038221894,0.7618508312365656,3626997,2888055,60.8908623465422,34.20099470019715,0.01,0.5246113274143762,1.1666805814821697,0.2668986764634505,0.576828391440762,black,+1%,1.17,1.17,-0.85534479273204,0 → 1,-1.07 → -0.5,0.58,+0.58 (-1.07 → -0.5),"CEE
+0.58 (-1.07 → -0.5)",FALSE,,-1.4386850834731248,-0.2720045019909551,logratio,% of DE
Estonia,CEE,1995,2024,0.202889455450383,0.5613295291514006,1452730,1371986,60.8908623465422,34.20099470019715,0.01,0.35844007370101755,1.0176468527784368,0.2668986764634505,0.576828391440762,black,+0%,1.02,1.02,-1.0862705763063558,0 → 1,-1.07 → -0.5,0.58,+0.58 (-1.07 → -0.5),"CEE
+0.58 (-1.07 → -0.5)",FALSE,,-1.5950940026955742,-0.5774471499171375,logratio,% of DE
Slovakia,CEE,1995,2024,0.29208234678790745,0.5200024737494654,5354244,5422069,60.8908623465422,34.20099470019715,0.01,0.22792012696155795,0.576797796715976,0.2668986764634505,0.576828391440762,black,+0%,0.58,0.58,-0.9423206085654572,0 → 1,-1.07 → -0.5,0.58,+0.58 (-1.07 → -0.5),"CEE
+0.58 (-1.07 → -0.5)",FALSE,,-1.2307195069234451,-0.6539217102074691,logratio,% of DE
Poland,CEE,1995,2024,0.3721069588755704,0.6367371498033603,38364630,36554707,60.8908623465422,34.20099470019715,0.01,0.2646301909277899,0.5371755959373349,0.2668986764634505,0.576828391440762,black,+0%,0.54,0.54,-0.7199861442083262,0 → 1,-1.07 → -0.5,0.58,+0.58 (-1.07 → -0.5),"CEE
+0.58 (-1.07 → -0.5)",FALSE,,-0.9885739421769936,-0.45139834623965874,logratio,% of DE
Czechia,CEE,1995,2024,0.32598352286273563,0.5543253443150757,10311979,10882164,60.8908623465422,34.20099470019715,0.01,0.2283418214523401,0.5309049417583281,0.2668986764634505,0.576828391440762,black,+0%,0.53,0.53,-0.8554559713794658,0 → 1,-1.07 → -0.5,0.58,+0.58 (-1.07 → -0.5),"CEE
+0.58 (-1.07 → -0.5)",FALSE,,-1.12090844225863,-0.5900035005003018,logratio,% of DE
Chile,Latin America,1996,2023,0.3501306674249105,0.5598744389280144,14734005,19658791,33.781055871282355,31.978509441843954,0.01,0.20974377150310386,0.46940612207816423,0.018025464294384008,0.05483607093540486,black,+0%,0.47,0.47,-0.8147457976322088,0 → 0,-1.14 → -1.09,0.05,+0.05 (-1.14 → -1.09),"Latin America
+0.05 (-1.14 → -1.09)",TRUE,(1996-2023),-1.049448858671291,-0.5800427365931267,logratio,% of DE
Hungary,CEE,1995,2024,0.3189708319836908,0.5040222912825018,10322744,9562314,60.8908623465422,34.20099470019715,0.01,0.18505145929881095,0.45752083301189456,0.2668986764634505,0.576828391440762,black,+0%,0.46,0.46,-0.9138951996596548,0 → 1,-1.07 → -0.5,0.58,+0.58 (-1.07 → -0.5),"CEE
+0.58 (-1.07 → -0.5)",FALSE,,-1.142655616165602,-0.6851347831537076,logratio,% of DE
