country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_start,mean_end,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,x_start,x_end,type_scale,sel_var
Greece,Southern Europe,1990,2023,27.32246,35.76075,10258439,10242850,35740.763962358076,47750.19980309279,0.001,8.438290000000002,0.2691418486669984,12.009435840734717,0.28969136621749497,black,$8k,0.27,$8k,31.541605,36 → 48,3.58 → 3.87,12,+12k (36 → 48),"Southern Europe
+12k (36 → 48)",27.32246,35.76075,linear,value
Russia,ex-USSR/Balkans,1990,2023,30.906912000000002,39.221684,148979487,145440454,25766.695236348674,32527.089972335874,0.001,8.314772000000001,0.23824990891395895,6.7603947359872,0.23299050403726912,black,$8k,0.24,$8k,35.064298,26 → 33,3.25 → 3.48,7,+7k (26 → 33),"ex-USSR/Balkans
+7k (26 → 33)",30.906912000000002,39.221684,linear,value
Egypt,Africa,1990,2023,7.9640775999999995,16.218135,58396583,114535724,8276.909477367508,14219.964966316706,0.001,8.2540574,0.7111889305702795,5.943055488949198,0.5411773134854355,black,$8k,0.71,$8k,12.0911063,8 → 14,2.11 → 2.65,6,+6k (8 → 14),"Africa
+6k (8 → 14)",7.9640775999999995,16.218135,linear,value
Brazil,Latin America,1990,2023,12.177599,18.011285,149143183,211140678,13186.329495351743,20266.922154160544,0.001,5.833686,0.39140038948004485,7.080592658808801,0.4298094578646791,black,$6k,0.39,$6k,15.094442,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",12.177599,18.011285,linear,value
Ecuador,Latin America,1990,2023,8.236324000000002,13.986397000000002,10473624,17980034,13186.329495351743,20266.922154160544,0.001,5.750073,0.5295310865302464,7.080592658808801,0.4298094578646791,black,$6k,0.53,$6k,11.111360500000002,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",8.236324000000002,13.986397000000002,linear,value
Paraguay,Latin America,1990,2023,9.612724,15.25222,4035697,6844101,13186.329495351743,20266.922154160544,0.001,5.639495999999999,0.4616374286779302,7.080592658808801,0.4298094578646791,black,$6k,0.46,$6k,12.432472,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",9.612724,15.25222,linear,value
Tunisia,Africa,1990,2023,6.425749,12.011388000000002,8324459,12200387,8276.909477367508,14219.964966316706,0.001,5.585639000000002,0.6255419999098575,5.943055488949198,0.5411773134854355,black,$6k,0.63,$6k,9.2185685,8 → 14,2.11 → 2.65,6,+6k (8 → 14),"Africa
+6k (8 → 14)",6.425749,12.011388000000002,linear,value
Mexico,Latin America,1990,2023,17.073438,21.812656,82820134,129739713,13186.329495351743,20266.922154160544,0.001,4.739218000000001,0.24496642929725157,7.080592658808801,0.4298094578646791,black,$5k,0.24,$5k,19.443047,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",17.073438,21.812656,linear,value
Morocco,Africa,1990,2023,4.2554136,8.652880999999999,24375508,37712463,8276.909477367508,14219.964966316706,0.001,4.397467399999999,0.7097003684825897,5.943055488949198,0.5411773134854355,black,$4k,0.71,$4k,6.454147299999999,8 → 14,2.11 → 2.65,6,+6k (8 → 14),"Africa
+6k (8 → 14)",4.2554136,8.652880999999999,linear,value
"South
Africa",Africa,1990,2023,9.628174000000001,13.693988,40746216,63212339,8276.909477367508,14219.964966316706,0.001,4.065813999999998,0.35226331235561853,5.943055488949198,0.5411773134854355,black,$4k,0.35,$4k,11.661081,8 → 14,2.11 → 2.65,6,+6k (8 → 14),"Africa
+6k (8 → 14)",9.628174000000001,13.693988,linear,value
Algeria,Africa,1990,2023,11.297324000000001,15.114172,25375759,46164169,8276.909477367508,14219.964966316706,0.001,3.8168479999999985,0.29106696319699127,5.943055488949198,0.5411773134854355,black,$4k,0.29,$4k,13.205748,8 → 14,2.11 → 2.65,6,+6k (8 → 14),"Africa
+6k (8 → 14)",11.297324000000001,15.114172,linear,value
Iran,Asia,1990,2023,13.115075000000001,16.095771000000003,58380046,90608663,3109.287442601651,22862.973209979453,0.001,2.980696000000002,0.2047942347336842,19.753685767377803,1.995125129783213,black,$3k,0.2,$3k,14.605423000000002,3 → 23,1.13 → 3.13,20,+20k (3 → 23),"Asia
+20k (3 → 23)",13.115075000000001,16.095771000000003,linear,value
Jamaica,Latin America,1990,2023,9.117886,10.056985000000001,2379829,2839729,13186.329495351743,20266.922154160544,0.001,0.9390990000000006,0.098029438991512,7.080592658808801,0.4298094578646791,black,$1k,0.1,$1k,9.587435500000002,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",9.117886,10.056985000000001,linear,value
Moldova,ex-USSR/Balkans,1990,2023,16.041989,15.866541999999999,4451100,3067017,25766.695236348674,32527.089972335874,0.001,-0.1754470000000019,-0.010996981848920435,6.7603947359872,0.23299050403726912,red,$0k,-0.01,$0k,15.9542655,26 → 33,3.25 → 3.48,7,+7k (26 → 33),"ex-USSR/Balkans
+7k (26 → 33)",16.041989,15.866541999999999,linear,value
Ukraine,ex-USSR/Balkans,1990,2023,23.600672,16.933145,52054034,37732781,25766.695236348674,32527.089972335874,0.001,-6.667527,-0.3320022423952105,6.7603947359872,0.23299050403726912,red,$-7k,-0.33,$-7k,20.2669085,26 → 33,3.25 → 3.48,7,+7k (26 → 33),"ex-USSR/Balkans
+7k (26 → 33)",23.600672,16.933145,linear,value
"South
Korea",Asia,1990,2023,37.48147742426126,77.63302246321001,44081380,51748695,7.277921479684563,35.69371241472026,1,40.151545038948754,0.7281460082788728,28.415790935035695,1.5901292400269578,black,+40%,0.73,+40%,57.557249943735634,7 → 36,1.98 → 3.57,28,+28% (7 → 36),"Asia
+28% (7 → 36)",37.48147742426126,77.63302246321001,linear,% of DE
Poland,CEE,1990,2023,29.860793653134355,65.9102462338234,38055404,38762796,40.147616938518375,63.38602058859676,1,36.04945258068905,0.791747540069286,23.238403650078382,0.4566802570109214,black,+36%,0.79,+36%,47.885519943478876,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",29.860793653134355,65.9102462338234,linear,% of DE
