cntr_group,country,Code,era_yrs,varname,cntr_region,era_col,value,value_end,change_val,pop,synth,cntr_rank,trans_rec_end_yr,label_perc_end,era_num,era_low,era_high,scaling,change_val_lab,change_lab,change_sign
CEE,Czechia,CZE,1992-2022,% of W_EUR3,CEE: Czechia,"capitalism
(1992-2022)",-0.7684396159029282,-0.24730804341032966,0.5211315724925986,10312408,NA,2,1992,46,4,3.5,4.5,0.01,0.52,CZE: +0.52,convergence
Baltics,Estonia,EST,1973-1989,% of W_EUR3,Baltics: Estonia,"late socialism
(1973/75-1989)",-0.31112251747865294,-0.3430221262660317,-0.03189960878737874,1399299,NA,1,1994,73,2,1.5,2.5,0.01,-0.03,EST: -0.03,divergence
Baltics,Estonia,EST,1989-1994,% of W_EUR3,Baltics: Estonia,"transition
(1989-1991/92)",-0.3430221262660317,-0.8496054708591992,-0.5065833445931676,1567538,NA,1,1994,71,3,2.5,3.5,0.01,-0.51,EST: -0.51,divergence
Baltics,Estonia,EST,1994-2022,% of W_EUR3,Baltics: Estonia,"capitalism
(1992-2022)",-0.8496054708591992,-0.3173039461419629,0.5323015247172364,1475669,NA,1,1994,43,4,3.5,4.5,0.01,0.53,EST: +0.53,convergence
CEE,Hungary,HUN,1950-1975,% of W_EUR3,CEE: Hungary,"early socialism
(1950-1973/75)",-0.5064757712701371,-0.7191618170974802,-0.21268604582734307,9337826,NA,3,1992,60,1,0.5,1.5,0.01,-0.21,HUN: -0.21,divergence
CEE,Hungary,HUN,1975-1989,% of W_EUR3,CEE: Hungary,"late socialism
(1973/75-1989)",-0.7191618170974802,-0.8775933876043254,-0.1584315705068452,10515605,NA,3,1992,49,2,1.5,2.5,0.01,-0.16,HUN: -0.16,divergence
CEE,Hungary,HUN,1989-1992,% of W_EUR3,CEE: Hungary,"transition
(1989-1991/92)",-0.8775933876043254,-1.1045171428091838,-0.2269237552048584,10403359,NA,3,1992,42,3,2.5,3.5,0.01,-0.23,HUN: -0.23,divergence
CEE,Hungary,HUN,1992-2022,% of W_EUR3,CEE: Hungary,"capitalism
(1992-2022)",-1.1045171428091838,-0.33798841196644336,0.7665287308427404,10371431,NA,3,1992,33,4,3.5,4.5,0.01,0.77,HUN: +0.77,convergence
Baltics,Latvia,LVA,1973-1989,% of W_EUR3,Baltics: Latvia,"late socialism
(1973/75-1989)",-0.40951011410296423,-0.524587805007804,-0.11507769090483977,2415721,NA,2,1994,66,2,1.5,2.5,0.01,-0.12,LVA: -0.12,divergence
Baltics,Latvia,LVA,1989-1994,% of W_EUR3,Baltics: Latvia,"transition
(1989-1991/92)",-0.524587805007804,-1.1765201946138233,-0.6519323896060193,2664789,NA,2,1994,59,3,2.5,3.5,0.01,-0.65,LVA: -0.65,divergence
Baltics,Latvia,LVA,1994-2022,% of W_EUR3,Baltics: Latvia,"capitalism
(1992-2022)",-1.1765201946138233,-0.41678217951351554,0.7597380151003077,2521185,NA,2,1994,31,4,3.5,4.5,0.01,0.76,LVA: +0.76,convergence
Baltics,Lithuania,LTU,1973-1989,% of W_EUR3,Baltics: Lithuania,"late socialism
(1973/75-1989)",-0.44226528749160354,-0.5883901605982915,-0.14612487310668798,3236175,NA,3,1994,64,2,1.5,2.5,0.01,-0.15,LTU: -0.15,divergence
Baltics,Lithuania,LTU,1989-1994,% of W_EUR3,Baltics: Lithuania,"transition
(1989-1991/92)",-0.5883901605982915,-1.282370360150749,-0.6939801995524575,3696048,NA,3,1994,56,3,2.5,3.5,0.01,-0.69,LTU: -0.69,divergence
Baltics,Lithuania,LTU,1994-2022,% of W_EUR3,Baltics: Lithuania,"capitalism
(1992-2022)",-1.282370360150749,-0.2911768844161645,0.9911934757345845,3654839,NA,3,1994,28,4,3.5,4.5,0.01,0.99,LTU: +0.99,convergence
CEE,Poland,POL,1950-1975,% of W_EUR3,CEE: Poland,"early socialism
(1950-1973/75)",-0.5199740024490845,-0.7186215977552947,-0.19864759530621012,24780120,NA,4,1991,59,1,0.5,1.5,0.01,-0.2,POL: -0.2,divergence
CEE,Poland,POL,1975-1989,% of W_EUR3,CEE: Poland,"late socialism
(1973/75-1989)",-0.7186215977552947,-1.071892230437213,-0.3532706326819183,33964338,NA,4,1991,49,2,1.5,2.5,0.01,-0.35,POL: -0.35,divergence
CEE,Poland,POL,1989-1991,% of W_EUR3,CEE: Poland,"transition
(1989-1991/92)",-1.071892230437213,-1.27019975104409,-0.19830752060687717,37938044,NA,4,1991,34,3,2.5,3.5,0.01,-0.2,POL: -0.2,divergence
CEE,Poland,POL,1991-2022,% of W_EUR3,CEE: Poland,"capitalism
(1992-2022)",-1.27019975104409,-0.24047793795183353,1.0297218130922565,38152898,NA,4,1991,28,4,3.5,4.5,0.01,1.03,POL: +1.03,convergence
CEE,Romania,ROU,1950-1975,% of W_EUR3,CEE: Romania,"early socialism
(1950-1973/75)",-1.247565693731388,-1.1531086753946223,0.09445701833676567,16397220,NA,5,1992,29,1,0.5,1.5,0.01,0.09,ROU: +0.09,convergence
